Model,Description
TS_rigid_sphere.mph,Rigid sphere scatterer in water domain
TS_soft_sphere.mph,Pressure release sphere scatterer in water domain
TS_air_sphere.mph,Air sphere (bubble) scatterer in water domain
TS_elastic_sphere.mph,Solid bone sphere scatterer in water domain
TS_elastic_shell.mph,Spherical bone shell with air cavity scatterer in water domain
TS_rockfish.mph,Rockfish body with swim bladder in water domain. The entire body is approximated to have properties of soft tissue
TS_rockfish_bone.mph,"Rockfish body with swim bladder in water domain. Includes voxel-based assignment of bone properties based on coordinate file ""bone_voxel_trimmed_translated.csv"""
TS_rockfish_bone_monostatic.mph,"Similar to TS_rockfish but runs a parameter sweep for incident plane wave angle, allowing the measurement of monostatic scattering pattern."
TS_midshipman.mph,Plainfin midshipman swim bladder (no body) in water domain
TS_midshipman_monostatic.mph,"Simlilar to TS_midshipman but runs a parameter sweep for incident plane wave angle, allowing the measurement of monostatic scattering pattern"
