% Model,Rockfish_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 1 2026, 17:57"
% Table,Table 2 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (0, -1000, 0)"
49.99999999999999,-64.07935358411416
52.96268625886442,-63.03651059028852
56.10092271509817,-61.98818335685266
59.42511137185091,-60.93363265020531
62.94627058970836,-59.872009340907404
66.6760716081662,-58.802335187698745
70.6268772311377,-57.72347944567645
74.81178280472167,-56.634130148463896
79.24465962305565,-55.53275853419754
83.94020090612803,-54.417574534093674
88.91397050194612,-53.286470465539935
94.18245447449,-52.13694893570604
99.76311574844398,-50.966029287482485
105.67445199183237,-49.77012437887936
111.93605692841699,-48.54487557151778
118.56868528308274,-47.28492758363022
125.59432157547896,-45.983614715235205
133.0362529899404,-44.632512829989075
140.91914656322274,-43.22078149068594
149.26913094589798,-41.73416576403511
158.11388300841895,-40.15342149324865
167.48271957891376,-38.451711254912205
177.40669461678763,-36.590040018408025
187.91870214422212,-34.50863984325128
199.05358527674863,-32.10903758160126
210.8482517142911,-29.211282967631416
223.34179607548148,-25.428570369531563
236.5756294807401,-19.637983312116276
250.5936168136362,-3.4421782614897305
265.4422221154942,-15.182242261602406
281.1706625951745,-21.719693462935616
297.8310717645051,-25.076468889823577
315.47867224009644,-27.261108954508853
334.1719587843074,-28.833405089202387
353.97289219206897,-30.030638598322472
374.94710466622786,-30.975811613235415
397.16411736214064,-31.74096125103929
420.6975708225973,-32.3719135733957
445.6254690668729,-32.89962199310317
472.0304381429617,-33.3459679708194
499.99999999999994,-33.72698290760788
529.6268625886448,-34.054755585761924
561.0092271509814,-34.33862064683386
594.2511137185094,-34.58593085751635
629.4627058970837,-34.802576905736245
666.7607160816619,-34.993347939014605
706.2687723113777,-35.16218824738255
748.1178280472163,-35.3123842601589
792.4465962305569,-35.446703618158026
839.4020090612802,-35.56750057859166
889.1397050194613,-35.676797333347025
941.8245447449009,-35.77634782986101
997.6311574844393,-35.86768872658522
1056.7445199183237,-35.95218080973859
1119.36056928417,-36.031043314169594
1185.6868528308275,-36.10538298638695
1255.943215754791,-36.176219312592906
1330.362529899404,-36.24450705157797
1409.1914656322274,-36.31115702449149
1492.69130945898,-36.37705599644926
1581.1388300841895,-36.443086422246424
1674.8271957891395,-36.51014680800966
1774.0669461678763,-36.579173451088984
1879.1870214422213,-36.651164346403704
1990.5358527674864,-36.727206060685575
2108.482517142911,-36.80850431880552
2233.417960754817,-36.89641879596584
2365.756294807401,-36.9925019034227
2505.936168136362,-37.098539628943946
2654.422221154942,-37.21658852292008
2811.706625951745,-37.3489940286223
2978.3107176450544,-37.49835561081318
3154.7867224009647,-37.66736029785738
3341.719587843074,-37.858308773127845
3539.72892192069,-38.071942848001186
3749.4710466622787,-38.304723415795245
3971.6411736214104,-38.54283020262794
4206.975708225973,-38.750052830177665
4456.2546906687285,-38.84827378183017
4720.304381429617,-38.7052181710133
4999.999999999999,-38.187379396968566
5296.268625886442,-37.32513272294789
5610.0922715098195,-36.411976041454835
5942.5111371850935,-35.79341134276375
6294.6270589708365,-35.60111504313627
6667.607160816619,-35.73872331280204
7062.687723113769,-36.04653287490975
7481.178280472171,-36.41538197978181
7924.4659623055695,-36.805670851792264
8394.020090612803,-37.69225827946006
8891.397050194613,-38.550057985064115
9418.245447448999,-39.40050994613923
9976.311574844403,-39.50686731856314
10567.445199183237,-37.655066399488355
11193.605692841687,-35.368031991599224
11856.868528308274,-34.82178079604914
12559.43215754791,-35.78800269621449
13303.625298994068,-36.86844823806461
14091.914656322273,-38.242209438589214
14926.913094589783,-38.346942004715885
15811.388300841894,-35.07337238220036
16748.271957891393,-32.97618421806857
17740.6694616788,-35.46175738492746
18791.870214422215,-38.42776858650727
19905.358527674845,-37.23028700043382
21084.82517142911,-33.31601215768487
22334.179607548172,-33.71100092631936
23657.56294807406,-43.35833143569435
25059.36168136362,-36.446534058463
26544.222211549393,-34.50957668005495
28117.06625951745,-47.839193980653675
29783.107176450543,-35.802503831092324
31547.86722400971,-37.16357337423892
33417.19587843074,-41.17916240208797
35397.28921920686,-44.21558370651627
37494.71046662279,-29.76949445695684
39716.411736214104,-32.471496883864525
42069.75708225982,-28.668341654313956
44562.54690668729,-23.716777483699367
47203.04381429612,-27.813077640424208
49999.99999999999,-22.582646470537803
52962.68625886448,-23.10205073801165
56100.922715098255,-17.481202400366605
59425.11137185094,-35.272287148024816
62946.2705897083,-34.27080566450496
66676.0716081662,-20.421060513645465
70626.87723113777,-31.00393176668881
74811.78280472178,-32.302740391846946
79244.65962305569,-12.970100239821809
83940.20090612794,-30.816151256416017
88913.97050194613,-13.721460089998418
