% Model,TS_elastic_sphere_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 4 2026, 14:52"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-123.11593699986207
56.10092271509817,-121.87211463504376
62.94627058970836,-120.58351708440281
70.6268772311377,-119.24558562110494
79.24465962305565,-117.85451022912133
88.91397050194612,-116.40755990190301
99.76311574844398,-114.90334264151771
111.93605692841699,-113.3419453550577
125.59432157547896,-111.72492482064398
140.91914656322274,-110.05515173863698
158.11388300841895,-108.3365399617763
177.40669461678763,-106.57371239390233
199.05358527674863,-104.77165868519509
223.34179607548148,-102.93542983810566
250.5936168136362,-101.06989738149767
281.1706625951745,-99.17958685202098
315.47867224009644,-97.2685815555067
353.97289219206897,-95.34048459618722
397.16411736214064,-93.39842434650626
445.6254690668729,-91.44508922768293
499.99999999999994,-89.48278018653258
561.0092271509814,-87.51347230989877
629.4627058970837,-85.53887986221741
706.2687723113777,-83.56052132513625
792.4465962305569,-81.57978270430782
889.1397050194613,-79.59797853657336
997.6311574844393,-77.61641085486217
1119.36056928417,-75.63642703780351
1255.943215754791,-73.65947817645417
1409.1914656322274,-71.68718047847645
1581.1388300841895,-69.72138338184793
1774.0669461678763,-67.76424947776798
1990.5358527674864,-65.81835301895099
2233.417960754817,-63.88680572401347
2505.936168136362,-61.97342091968623
2811.706625951745,-60.08293018858119
3154.7867224009647,-58.22127147091389
3539.72892192069,-56.39597568468992
3971.6411736214104,-54.61669347052486
4456.2546906687285,-52.8959300751218
4999.999999999999,-51.25010414603246
5610.0922715098195,-49.70113240499478
6294.6270589708365,-48.27889969335703
7062.687723113769,-47.02527052771068
7924.4659623055695,-46.00087600665648
8891.397050194613,-45.29701087747357
9976.311574844403,-45.05633306854365
11193.605692841687,-45.49819788918994
12559.43215754791,-46.79877095602758
14091.914656322273,-47.33959068729996
15811.388300841894,-42.92669499100194
17740.6694616788,-37.33932153497014
19905.358527674845,-32.96298917346308
22334.179607548172,-30.074813547936504
25059.36168136362,-28.993000312770626
28117.06625951745,-30.46811273999795
31547.86722400971,-36.52653940305544
35397.28921920686,-39.92511073747374
39716.411736214104,-39.84242289401893
44562.54690668729,-41.240651535878605
49999.99999999999,-41.72164473350486
56100.922715098255,-34.81356309802814
62946.2705897083,-59.76280844898223
