% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 15:43"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
0,10000,-101.69180124000802
0,30000,-106.92294916621522
0,50000,-101.56812399028271
0,70000,-102.30080002661644
1,10000,-101.69205074847406
1,30000,-106.92261208305936
1,50000,-101.56611411433929
1,70000,-102.2885109038723
2,10000,-101.69258571671035
2,30000,-106.9251235945402
2,50000,-101.56999684675021
2,70000,-102.28731314575343
3.0000000000000004,10000,-101.69340552358949
3.0000000000000004,30000,-106.93048834582063
3.0000000000000004,50000,-101.57976957153343
3.0000000000000004,70000,-102.29730034941969
4,10000,-101.69450922064803
4,30000,-106.9387079387011
4,50000,-101.5954242805263
4,70000,-102.31856399381309
5,10000,-101.69589553272964
5,30000,-106.9497809165274
5,50000,-101.6169475307232
5,70000,-102.3511923136487
6.000000000000001,10000,-101.69756285893055
6.000000000000001,30000,-106.96370274315095
6.000000000000001,50000,-101.64432039192155
6.000000000000001,70000,-102.39526900274724
7,10000,-101.6995092738564
7,30000,-106.98046577613346
7,50000,-101.67751838418305
7,70000,-102.45087172943826
8,10000,-101.70173252917827
8,30000,-107.00005923394009
8,50000,-101.71651140318508
8,70000,-102.51807044321764
9,10000,-101.70423005550957
9,30000,-107.02246915749481
9,50000,-101.76126363266583
9,70000,-102.59692544496153
10,10000,-101.70699896458257
10,30000,-107.04767836607527
10,50000,-101.81173344155337
10,70000,-102.6874851871679
11,10000,-101.71003605174965
11,30000,-107.07566640774346
11,50000,-101.86787326486746
11,70000,-102.78978376357486
12.000000000000002,10000,-101.71333779878401
12.000000000000002,30000,-107.10640950443464
12.000000000000002,50000,-101.92962946540918
12.000000000000002,70000,-102.90383804074763
13,10000,-101.71690037701055
13,30000,-107.13988049211085
13,50000,-101.99694217489872
13,70000,-103.02964437567672
14,10000,-101.72071965073962
14,30000,-107.17604875604627
14,50000,-102.0697451116819
14,70000,-103.16717485438838
14.999999999999998,10000,-101.72479118103233
14.999999999999998,30000,-107.21488016190143
14.999999999999998,50000,-102.14796537298534
14.999999999999998,70000,-103.3163729796557
16,10000,-101.72911022977138
16,30000,-107.2563369826704
16,50000,-102.23152319901493
16,70000,-103.47714872387691
17,10000,-101.73367176406886
17,30000,-107.3003778223265
17,50000,-102.32033170646619
17,70000,-103.64937285717957
18,10000,-101.7384704609723
18,30000,-107.34695753649824
18,50000,-102.4142965889947
18,70000,-103.83287045249918
19,10000,-101.74350071251448
19,30000,-107.39602715107819
19,50000,-102.51331578209742
19,70000,-104.02741346510354
20,10000,-101.74875663107186
20,30000,-107.4475337792766
20,50000,-102.61727909039827
20,70000,-104.23271228496665
21,10000,-101.75423205504902
21,30000,-107.50142053833274
21,50000,-102.72606777509563
21,70000,-104.4484061682613
22,10000,-101.75992055488877
22,30000,-107.55762646658297
22,50000,-102.83955410034233
22,70000,-104.6740524746503
23,10000,-101.76581543939488
23,30000,-107.61608644225251
23,50000,-102.95760083710982
23,70000,-104.90911467321611
24.000000000000004,10000,-101.77190976238472
24.000000000000004,30000,-107.67673110515128
24.000000000000004,50000,-103.08006072479941
24.000000000000004,70000,-105.15294914339302
25,10000,-101.77819632965858
25,30000,-107.73948678263692
25,50000,-103.20677589060024
25,70000,-105.40479088730666
26,10000,-101.78466770629
26,30000,-107.80427542157429
26,50000,-103.337577229075
26,70000,-105.66373840859738
27,10000,-101.79131622422693
27,30000,-107.87101452782275
27,50000,-103.47228374459897
27,70000,-105.92873819950165
28,10000,-101.79813399021741
28,30000,-107.93961711525809
28,50000,-103.61070186219058
28,70000,-106.19856952696843
29.000000000000004,10000,-101.80511289403613
29.000000000000004,30000,-108.00999166627734
29.000000000000004,50000,-103.75262471346302
29.000000000000004,70000,-106.4718305246655
29.999999999999996,10000,-101.81224461702945
29.999999999999996,30000,-108.0820421060788
29.999999999999996,50000,-103.8978314075036
29.999999999999996,70000,-106.74692697455056
31,10000,-101.81952064096319
31,30000,-108.15566779285942
31,50000,-104.04608629898343
31,70000,-107.02206557816807
32,10000,-101.82693225717145
32,30000,-108.23076352653034
32,50000,-104.19713826931628
32,70000,-107.29525393618444
33,10000,-101.83447057599415
33,30000,-108.30721957835537
33,50000,-104.35072003981449
33,70000,-107.564309791327
34,10000,-101.84212653652695
34,30000,-108.38492174440671
34,50000,-104.50654754060272
34,70000,-107.82688223854393
35,10000,-101.84989091662783
35,30000,-108.46375142508847
35,50000,-104.6643193622994
35,70000,-108.08048742513148
36,10000,-101.85775434323155
36,30000,-108.54358573393395
36,50000,-104.82371632252624
36,70000,-108.32256059279798
37,10000,-101.86570730291216
37,30000,-108.62429763784522
37,50000,-104.98440118353034
37,70000,-108.55052503598745
38,10000,-101.87374015272172
38,30000,-108.70575613173976
38,50000,-105.14601856122725
38,70000,-108.76187662762148
39,10000,-101.88184313128487
39,30000,-108.78782644974984
39,50000,-105.30819506976968
39,70000,-108.95428012702757
40,10000,-101.89000637013278
40,30000,-108.87037031527741
40,50000,-105.47053974814244
40,70000,-109.12567086874819
41,10000,-101.89821990527358
41,30000,-108.95324623173082
41,50000,-105.63264481745306
41,70000,-109.27435317627297
42,10000,-101.90647368899721
42,30000,-109.03630981546351
42,50000,-105.79408681637327
42,70000,-109.39908558383605
43,10000,-101.91475760188112
43,30000,-109.1194141719189
43,50000,-105.95442816055521
43,70000,-109.49914323355029
44,10000,-101.9230614650065
44,30000,-109.20241031545275
44,50000,-106.11321916560117
44,70000,-109.5743498732746
45,10000,-101.93137505235292
45,30000,-109.28514763257056
45,50000,-106.27000056533653
45,70000,-109.62507549465226
46,10000,-101.93968810338424
46,30000,-109.36747438770149
46,50000,-106.424306544665
46,70000,-109.65220010580578
47,10000,-101.94799033577071
47,30000,-109.44923826979709
47,50000,-106.57566829018863
47,70000,-109.65704848683967
48.00000000000001,10000,-101.95627145827712
48.00000000000001,30000,-109.53028697694486
48.00000000000001,50000,-106.72361804287726
48.00000000000001,70000,-109.64130407246158
49,10000,-101.96452118376297
49,30000,-109.61046883568797
49,50000,-106.86769361332463
49,70000,-109.6069117676274
50,10000,-101.97272924230435
