% Model,soft_sphere.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 20 2026, 13:15"
% Table,Table 1 - Point Evaluation 1
% t_PML (cm),freq (Hz),"Target Strength, Point: (-100, 0, 0)"
0.5,12559.43215754791,-31.31586446306262
0.5,14091.914656322273,-31.43712673036026
0.5,15811.388300841894,-31.49114142132333
0.5,17740.6694616788,-31.528710750286265
0.5,19905.358527674845,-31.59411744762896
0.5,22334.179607548172,-31.619516722591694
0.5,25059.36168136362,-31.661102588336185
0.5,28117.06625951745,-31.688185169940105
0.5,31547.86722400971,-31.71192395511438
0.5,35397.28921920686,-31.736050442173124
0.5,39716.411736214104,-31.753840883869103
0.5,44562.54690668729,-31.76424979818134
0.5,49999.99999999999,-31.778159066848247
0.5,56100.922715098255,-31.787293802665268
1,49.99999999999999,-20.10399065055563
1,56.10092271509817,-20.232652064951452
1,62.94627058970836,-20.37437843785087
1,70.6268772311377,-20.530024575942182
1,79.24465962305565,-20.700367390731724
1,88.91397050194612,-20.886063242563587
1,99.76311574844398,-21.08759881436803
1,111.93605692841699,-21.30523662747441
1,125.59432157547896,-21.53895709575305
1,140.91914656322274,-21.788399854199586
1,158.11388300841895,-22.05280792443077
1,177.40669461678763,-22.33097902661646
1,199.05358527674863,-22.621228974320992
1,223.34179607548148,-22.921372595157404
1,250.5936168136362,-23.228728042432746
1,281.1706625951745,-23.540150738661318
1,315.47867224009644,-23.852103487734396
1,353.97289219206897,-24.160769307683324
1,397.16411736214064,-24.46221281590859
1,445.6254690668729,-24.752593824979876
1,499.99999999999994,-25.028432343069
1,561.0092271509814,-25.286916829459415
1,629.4627058970837,-25.526237545943044
1,706.2687723113777,-25.745915727442497
1,792.4465962305569,-25.947090104258187
1,889.1397050194613,-26.13271884526194
1,997.6311574844393,-26.307660155042576
1,1119.36056928417,-26.478608415538652
1,1255.943215754791,-26.653880187547795
1,1409.1914656322274,-26.843056191889495
1,1581.1388300841895,-27.056479066058287
1,1774.0669461678763,-27.30456902013735
1,1990.5358527674864,-27.59683942389495
1,2233.417960754817,-27.940369135255445
1,2505.936168136362,-28.337346019691566
1,2811.706625951745,-28.781267563827704
1,3154.7867224009647,-29.251875136621845
1,3539.72892192069,-29.71076842145672
1,3971.6411736214104,-30.103542715494275
1,4456.2546906687285,-30.377142884658316
1,4999.999999999999,-30.512613716857867
1,5610.0922715098195,-30.550517829946962
1,6294.6270589708365,-30.57874895232699
1,7062.687723113769,-30.682192977476635
1,7924.4659623055695,-30.8814447820418
1,8891.397050194613,-31.09891712251953
1,9976.311574844403,-31.21992333434687
1,11193.605692841687,-31.2491038425904
1,12559.43215754791,-31.316326570097864
1,14091.914656322273,-31.437601192267394
1,15811.388300841894,-31.491105048730677
1,17740.6694616788,-31.52912905883154
1,19905.358527674845,-31.59441426477343
1,22334.179607548172,-31.619189828320465
1,25059.36168136362,-31.661082987469232
1,28117.06625951745,-31.688104378583585
1,31547.86722400971,-31.71127833173983
1,35397.28921920686,-31.736477203659007
1,39716.411736214104,-31.754170629111243
1,44562.54690668729,-31.766914236350576
1,49999.99999999999,-31.781011577782436
1,56100.922715098255,-31.789683361786327
1.5,49.99999999999999,-20.11252559380676
1.5,56.10092271509817,-20.242102143815238
1.5,62.94627058970836,-20.38481166712481
1.5,70.6268772311377,-20.541504442748835
1.5,79.24465962305565,-20.71294942575725
1.5,88.91397050194612,-20.899790881074086
1.5,99.76311574844398,-21.102498571852006
1.5,111.93605692841699,-21.321312678757458
1.5,125.59432157547896,-21.55618542338676
1.5,140.91914656322274,-21.806722218183463
1.5,158.11388300841895,-22.072125996639485
1.5,177.40669461678763,-22.351149126579152
1.5,199.05358527674863,-22.642057937744035
1.5,223.34179607548148,-22.942615405091704
1.5,250.5936168136362,-23.250087957523327
1.5,281.1706625951745,-23.56128275855037
1.5,315.47867224009644,-23.87262207866398
1.5,353.97289219206897,-24.180261315508332
1.5,397.16411736214064,-24.48025632150806
1.5,445.6254690668729,-24.768783216305597
1.5,499.99999999999994,-25.04240895902885
1.5,561.0092271509814,-25.29840312185864
1.5,629.4627058970837,-25.535070937790508
1.5,706.2687723113777,-25.752076621466948
1.5,792.4465962305569,-25.95071748469134
1.5,889.1397050194613,-26.134107388423423
1.5,997.6311574844393,-26.307235252958
1.5,1119.36056928417,-26.476879932681868
1.5,1255.943215754791,-26.65138118068643
1.5,1409.1914656322274,-26.840277585509412
1.5,1581.1388300841895,-27.05381357735092
1.5,1774.0669461678763,-27.30227624498724
1.5,1990.5358527674864,-27.595038943164134
1.5,2233.417960754817,-27.939061203015147
1.5,2505.936168136362,-28.336452206876267
1.5,2811.706625951745,-28.780678939312377
1.5,3154.7867224009647,-29.251494310014373
1.5,3539.72892192069,-29.710533675400285
1.5,3971.6411736214104,-30.10342723372697
1.5,4456.2546906687285,-30.377132358047238
1.5,4999.999999999999,-30.51268178264834
1.5,5610.0922715098195,-30.550623045533044
1.5,6294.6270589708365,-30.578851795455755
1.5,7062.687723113769,-30.682267319965426
1.5,7924.4659623055695,-30.88146970866616
1.5,8891.397050194613,-31.0988709398761
1.5,9976.311574844403,-31.21983422104366
1.5,11193.605692841687,-31.249117562914805
1.5,12559.43215754791,-31.31654941855157
1.5,14091.914656322273,-31.43777154751591
1.5,15811.388300841894,-31.491039308991432
1.5,17740.6694616788,-31.529346992512398
1.5,19905.358527674845,-31.594449413236404
1.5,22334.179607548172,-31.619048504195007
1.5,25059.36168136362,-31.660901077095748
1.5,28117.06625951745,-31.688008327223077
1.5,31547.86722400971,-31.711156851077426
1.5,35397.28921920686,-31.73654945149007
1.5,39716.411736214104,-31.754456437757245
1.5,44562.54690668729,-31.763168205898538
1.5,49999.99999999999,-31.78055589768576
1.5,56100.922715098255,-31.79324270703698
2,49.99999999999999,-20.117044195347624
2,56.10092271509817,-20.24709767297045
2,62.94627058970836,-20.390316963844256
2,70.6268772311377,-20.547549010209888
2,79.24465962305565,-20.719557419054055
2,88.91397050194612,-20.906978709854446
2,99.76311574844398,-21.110272144243226
2,111.93605692841699,-21.32966435497716
2,125.59432157547896,-21.56509079671549
2,140.91914656322274,-21.816136896242586
2,158.11388300841895,-22.081982614409096
2,177.40669461678763,-22.361354881682807
2,199.05358527674863,-22.652492996299816
2,223.34179607548148,-22.95313258122473
2,250.5936168136362,-23.260514117894534
2,281.1706625951745,-23.571422435170447
2,315.47867224009644,-23.88226376664297
2,353.97289219206897,-24.189186847116417
2,397.16411736214064,-24.488253485791272
2,445.6254690668729,-24.775661370133033
2,499.99999999999994,-25.048016711088916
2,561.0092271509814,-25.30264629998374
2,629.4627058970837,-25.53792813358981
2,706.2687723113777,-25.753608955609067
2,792.4465962305569,-25.951069257779125
2,889.1397050194613,-26.133495323548004
2,997.6311574844393,-26.305926165666822
2,1119.36056928417,-26.475159498515005
2,1255.943215754791,-26.649519179188314
2,1409.1914656322274,-26.83849656219585
2,1581.1388300841895,-27.052267507636998
2,1774.0669461678763,-27.301043392988934
2,1990.5358527674864,-27.594129380139336
2,2233.417960754817,-27.93843564975218
2,2505.936168136362,-28.33604627518276
2,2811.706625951745,-28.780426187623668
2,3154.7867224009647,-29.25134264470632
2,3539.72892192069,-29.710451753732553
2,3971.6411736214104,-30.103400271358318
2,4456.2546906687285,-30.377151013230357
2,4999.999999999999,-30.512732971608525
2,5610.0922715098195,-30.550690283911386
2,6294.6270589708365,-30.57892102535977
2,7062.687723113769,-30.682326853725776
2,7924.4659623055695,-30.881501537812458
2,8891.397050194613,-31.098851965747322
2,9976.311574844403,-31.21978105677445
2,11193.605692841687,-31.249128920797165
2,12559.43215754791,-31.316685366083526
2,14091.914656322273,-31.437856997050872
2,15811.388300841894,-31.490982253366397
2,17740.6694616788,-31.52946241447246
2,19905.358527674845,-31.594445303705832
2,22334.179607548172,-31.619059409751266
2,25059.36168136362,-31.66093115827419
2,28117.06625951745,-31.68800495113592
2,31547.86722400971,-31.710904558187615
2,35397.28921920686,-31.73656327353791
2,39716.411736214104,-31.75601132151502
2,44562.54690668729,-31.765856428675225
2,49999.99999999999,-31.77699662459968
2,56100.922715098255,-31.788401863857946
2.5,49.99999999999999,-20.11929308715509
2.5,56.10092271509817,-20.249581656459856
2.5,62.94627058970836,-20.393051276359362
2.5,70.6268772311377,-20.550546857624255
2.5,79.24465962305565,-20.722828887569285
2.5,88.91397050194612,-20.91052947852624
2.5,99.76311574844398,-21.11410201738652
2.5,111.93605692841699,-21.33376565722253
2.5,125.59432157547896,-21.569446701848246
2.5,140.91914656322274,-21.820719792802908
2.5,158.11388300841895,-22.086752644682623
2.5,177.40669461678763,-22.366258824418168
2.5,199.05358527674863,-22.657463695455434
2.5,223.34179607548148,-22.958089151185582
2.5,250.5936168136362,-23.26536317612637
2.5,281.1706625951745,-23.576060618407745
2.5,315.47867224009644,-23.886581761714286
2.5,353.97289219206897,-24.193075088788014
2.5,397.16411736214064,-24.49160951082507
2.5,445.6254690668729,-24.778398540671503
2.5,499.99999999999994,-25.050073624461838
2.5,561.0092271509814,-25.30399572800258
2.5,629.4627058970837,-25.538583897137922
2.5,706.2687723113777,-25.753628927419115
2.5,792.4465962305569,-25.950552910710325
2.5,889.1397050194613,-26.132575042918674
2.5,997.6311574844393,-26.304752870844112
2.5,1119.36056928417,-26.47388466241358
2.5,1255.943215754791,-26.648276583124186
2.5,1409.1914656322274,-26.83738755200367
2.5,1581.1388300841895,-27.051352836515616
2.5,1774.0669461678763,-27.300343076222354
2.5,1990.5358527674864,-27.593629884749895
2.5,2233.417960754817,-27.93810192531614
2.5,2505.936168136362,-28.335835189086133
2.5,2811.706625951745,-28.78029804747578
2.5,3154.7867224009647,-29.251268409023005
2.5,3539.72892192069,-29.71041477406255
2.5,3971.6411736214104,-30.103392832985037
2.5,4456.2546906687285,-30.377168052749376
2.5,4999.999999999999,-30.512767626605157
2.5,5610.0922715098195,-30.550734498293544
2.5,6294.6270589708365,-30.578968092449095
2.5,7062.687723113769,-30.68236972632789
2.5,7924.4659623055695,-30.881526525783126
2.5,8891.397050194613,-31.09884098959515
2.5,9976.311574844403,-31.219743741598805
2.5,11193.605692841687,-31.249129295452875
2.5,12559.43215754791,-31.31676062544561
2.5,14091.914656322273,-31.4379020342256
2.5,15811.388300841894,-31.490959506234105
2.5,17740.6694616788,-31.529567544085303
2.5,19905.358527674845,-31.59447906985408
2.5,22334.179607548172,-31.619049826199866
2.5,25059.36168136362,-31.66091383483711
2.5,28117.06625951745,-31.688072412807102
2.5,31547.86722400971,-31.710791391286076
2.5,35397.28921920686,-31.737225014038582
2.5,39716.411736214104,-31.755075222089904
2.5,44562.54690668729,-31.765858512179616
2.5,49999.99999999999,-31.780883501847278
2.5,56100.922715098255,-31.790238280427513
