% Model,soft_sphere.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 20 2026, 13:15"
% Table,Table 1 - Point Evaluation 1
% t_PML (cm),freq (Hz),"Target Strength, Point: (-100, 0, 0)"
0.5,49.99999999999999,-20.091454581984337
0.5,56.10092271509817,-20.21875515860033
0.5,62.94627058970836,-20.35901314472597
0.5,70.6268772311377,-20.513087502181676
0.5,79.24465962305565,-20.68176372454264
0.5,88.91397050194612,-20.86571214569769
0.5,99.76311574844398,-21.06543976018991
0.5,111.93605692841699,-21.28123658914894
0.5,125.59432157547896,-21.513118395405616
0.5,140.91914656322274,-21.76076838352484
0.5,158.11388300841895,-22.023481346596743
0.5,177.40669461678763,-22.300114474331497
0.5,199.05358527674863,-22.589049670855694
0.5,223.34179607548148,-22.888172738577488
0.5,250.5936168136362,-23.194875197189635
0.5,281.1706625951745,-23.506084862073205
0.5,315.47867224009644,-23.81833158299823
0.5,353.97289219206897,-24.127854570173763
0.5,397.16411736214064,-24.43075710263504
0.5,445.6254690668729,-24.723212460148144
0.5,499.99999999999994,-25.001720848346658
0.5,561.0092271509814,-25.26341029628263
0.5,629.4627058970837,-25.50636510280807
0.5,706.2687723113777,-25.729954728503735
0.5,792.4465962305569,-25.93512680369756
0.5,889.1397050194613,-26.12462367778072
0.5,997.6311574844393,-26.30308548598666
0.5,1119.36056928417,-26.47701416262521
0.5,1255.943215754791,-26.65458802927594
0.5,1409.1914656322274,-26.845326903145935
0.5,1581.1388300841895,-27.059601281938882
0.5,1774.0669461678763,-27.30794318486263
0.5,1990.5358527674864,-27.600039402074252
0.5,2233.417960754817,-27.943166806384152
0.5,2505.936168136362,-28.339691026887976
0.5,2811.706625951745,-28.78322442984039
0.5,3154.7867224009647,-29.253532771428997
0.5,3539.72892192069,-29.712153607320296
0.5,3971.6411736214104,-30.104586871282173
0.5,4456.2546906687285,-30.377745370730132
0.5,4999.999999999999,-30.51277133198598
0.5,5610.0922715098195,-30.55039366533062
0.5,6294.6270589708365,-30.578596995236467
0.5,7062.687723113769,-30.682208377087093
0.5,7924.4659623055695,-30.881655040051996
0.5,8891.397050194613,-31.09918611439491
0.5,9976.311574844403,-31.220077604681762
0.5,11193.605692841687,-31.24900276662844
