% Model,Midshipman_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 1 2026, 18:59"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (1000, 0, 0)"
49.99999999999999,-86.2065960507831
52.96268625886442,-85.20169903597957
56.10092271509817,-84.1961996548251
59.42511137185091,-83.19002343866059
62.94627058970836,-82.18308658793859
66.6760716081662,-81.17529475792745
70.6268772311377,-80.1665417079436
74.81178280472167,-79.15670773803662
79.24465962305565,-78.14565792438185
83.94020090612803,-77.13324009864537
88.91397050194612,-76.11928254747875
94.18245447449,-75.10359136124383
99.76311574844398,-74.08594740344995
105.67445199183237,-73.0661028169257
111.93605692841699,-72.04377698670908
118.56868528308274,-71.01865186891766
125.59432157547896,-69.9903665590236
133.0362529899404,-68.9585109544318
140.91914656322274,-67.92261833224882
149.26913094589798,-66.88215660793078
158.11388300841895,-65.83651799833424
167.48271957891376,-64.78500672329494
177.40669461678763,-63.72682428359425
187.91870214422212,-62.66105172784329
199.05358527674863,-61.586628123984084
210.8482517142911,-60.502324226024065
223.34179607548148,-59.40670997213668
236.5756294807401,-58.29811398738353
250.5936168136362,-57.174572588995886
265.4422221154942,-56.03376482220618
281.1706625951745,-54.872928637620234
297.8310717645051,-53.68875118027249
315.47867224009644,-52.47722290621763
334.1719587843074,-51.233440118333384
353.97289219206897,-49.95133225855995
374.94710466622786,-48.62327656784028
397.16411736214064,-47.239539062214604
420.6975708225973,-45.787438291189
445.6254690668729,-44.25004831277639
472.0304381429617,-42.60409771031124
499.99999999999994,-40.81638049346647
529.6268625886448,-38.83720148527199
561.0092271509814,-36.587321892743354
594.2511137185094,-33.92870875769295
629.4627058970837,-30.586741692533135
666.7607160816619,-25.876442559316224
706.2687723113777,-16.94695308060108
748.1178280472163,-12.547610100206537
792.4465962305569,-23.108257221687488
839.4020090612802,-27.342203075716363
889.1397050194613,-29.913860964590896
941.8245447449009,-31.704632858422237
997.6311574844393,-33.04257705787925
1056.7445199183237,-34.0862977442565
1119.36056928417,-34.92466649589241
1185.6868528308275,-35.61251168208579
1255.943215754791,-36.1860432721834
1330.362529899404,-36.67042303104856
1409.1914656322274,-37.083839402190215
1492.69130945898,-37.43986127933165
1581.1388300841895,-37.748875696949725
1674.8271957891395,-38.01900678412667
1774.0669461678763,-38.25672575848308
1879.1870214422213,-38.46726899914396
1990.5358527674864,-38.654932585013576
2108.482517142911,-38.82328485800101
2233.417960754817,-38.97532313807265
2365.756294807401,-39.113591508127506
2505.936168136362,-39.240270913631534
2654.422221154942,-39.3572492279227
2811.706625951745,-39.466176600213004
2978.3107176450544,-39.56850985423304
3154.7867224009647,-39.66554865722574
3341.719587843074,-39.75846545755762
3539.72892192069,-39.848330685420386
3749.4710466622787,-39.93613435501225
3971.6411736214104,-40.02280495256941
4206.975708225973,-40.10922631228646
4456.2546906687285,-40.19625305089601
4720.304381429617,-40.28472503704975
4999.999999999999,-40.37548130295658
5296.268625886442,-40.469373754037726
5610.0922715098195,-40.56728098816347
5942.5111371850935,-40.670122485812136
6294.6270589708365,-40.77887335140966
6667.607160816619,-40.89457962109581
7062.687723113769,-41.018373778097356
7481.178280472171,-41.151489213040236
7924.4659623055695,-41.29527003115368
8394.020090612803,-41.45116600030815
8891.397050194613,-41.62068116978651
9418.245447448999,-41.80516227558279
9976.311574844403,-42.004888116320885
10567.445199183237,-42.213271434358724
11193.605692841687,-42.23449784503916
11856.868528308274,-42.88590280318235
12559.43215754791,-43.11426477544408
13303.625298994068,-43.4734082653398
14091.914656322273,-43.869116516078904
14926.913094589783,-44.317182396031825
15811.388300841894,-44.826838899925576
16748.271957891393,-45.4093933905243
17740.6694616788,-46.09061321604252
18791.870214422215,-46.90471224146194
19905.358527674845,-47.20953169123489
21084.82517142911,-48.498085322030384
22334.179607548172,-49.574487427830995
23657.56294807406,-50.58684219548419
25059.36168136362,-51.69286849012452
26544.222211549393,-51.9585666226812
28117.06625951745,-51.993101231602665
29783.107176450543,-51.18564442305826
31547.86722400971,-50.03237073534314
33417.19587843074,-48.70643432260255
35397.28921920686,-47.63132326720938
37494.71046662279,-46.690122830802736
39716.411736214104,-46.096448283433276
42069.75708225982,-45.80088688822415
44562.54690668729,-46.15310995377156
47203.04381429612,-46.707364767298614
49999.99999999999,-48.35840839715171
52962.68625886448,-50.257523691677235
56100.922715098255,-50.93241218153413
59425.11137185094,-49.053064334609154
62946.2705897083,-46.768915894706566
66676.0716081662,-45.46083389673018
70626.87723113777,-44.95500850090857
74811.78280472178,-45.72736270107129
79244.65962305569,-47.54887812260997
83940.20090612794,-49.12938720842185
88913.97050194613,-48.839049132364764
