% Model,TS_air_sphere_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 3 2026, 15:20"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-47.832087592250964
56.10092271509817,-45.54666212299253
62.94627058970836,-43.17071312398482
70.6268772311377,-40.6689862745622
79.24465962305565,-37.98705245035585
88.91397050194612,-35.035341758154466
99.76311574844398,-31.652175475226123
111.93605692841699,-27.50061648496921
125.59432157547896,-21.6771464877483
140.91914656322274,-10.084533070295407
158.11388300841895,-14.30691459149289
177.40669461678763,-20.914439087160734
199.05358527674863,-24.093396418503133
223.34179607548148,-26.04644905473402
250.5936168136362,-27.385017596110927
281.1706625951745,-28.362994271394154
315.47867224009644,-29.10909414131279
353.97289219206897,-29.696597246794685
397.16411736214064,-30.170340046634756
445.6254690668729,-30.55904313835773
499.99999999999994,-30.881681044204772
561.0092271509814,-31.15112763709845
629.4627058970837,-31.376434499353508
706.2687723113777,-31.564356676415606
792.4465962305569,-31.720412835591087
889.1397050194613,-31.849614141358774
997.6311574844393,-31.956928321999985
1119.36056928417,-32.04752361596843
1255.943215754791,-32.126839730976386
1409.1914656322274,-32.2005435944084
1581.1388300841895,-32.27443434759816
1774.0669461678763,-32.35435757347438
1990.5358527674864,-32.44617163824522
2233.417960754817,-32.55578201527958
2505.936168136362,-32.68922613002597
2811.706625951745,-32.852750418474585
3154.7867224009647,-33.05275237208544
3539.72892192069,-33.29523899531736
3971.6411736214104,-33.582860152621535
4456.2546906687285,-33.83223729032422
4999.999999999999,-34.39137493152477
5610.0922715098195,-34.83617637011655
6294.6270589708365,-35.32382809914984
7062.687723113769,-35.81042121459767
7924.4659623055695,-36.22532265499143
8891.397050194613,-36.52708055881769
9976.311574844403,-36.60638699998032
11193.605692841687,-36.68351875732941
12559.43215754791,-36.697801954633135
14091.914656322273,-36.782101596887564
15811.388300841894,-36.920022629764226
17740.6694616788,-37.217482248146666
19905.358527674845,-37.376895741768216
22334.179607548172,-37.38324594664528
25059.36168136362,-37.425272728373045
28117.06625951745,-37.55709630242583
