% Model,TS_soft_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 4 2026, 11:10"
% Table,Table 4 - Volume Integration 1
% f0 (Hz),freq (Hz),1/(6*dvol) (1)
49.99999999999999,49.99999999999999,854.7500000000081
62.94627058970836,62.94627058970836,854.7500000000081
79.24465962305565,79.24465962305565,854.7500000000081
99.76311574844398,99.76311574844398,854.7500000000081
125.59432157547896,125.59432157547896,854.7500000000081
158.11388300841895,158.11388300841895,854.7500000000081
199.05358527674863,199.05358527674863,854.7500000000081
250.5936168136362,250.5936168136362,854.7500000000081
315.47867224009644,315.47867224009644,854.7500000000081
397.16411736214064,397.16411736214064,854.7500000000081
499.99999999999994,499.99999999999994,854.7500000000081
629.4627058970837,629.4627058970837,854.7500000000081
792.4465962305569,792.4465962305569,854.7500000000081
997.6311574844393,997.6311574844393,854.7500000000081
1255.943215754791,1255.943215754791,854.7500000000081
1581.1388300841895,1581.1388300841895,854.7500000000081
1990.5358527674864,1990.5358527674864,854.7500000000081
2505.936168136362,2505.936168136362,854.7500000000081
3154.7867224009647,3154.7867224009647,854.7500000000081
3971.6411736214104,3971.6411736214104,854.7500000000081
4999.999999999999,4999.999999999999,854.7500000000081
6294.6270589708365,6294.6270589708365,854.7500000000081
7924.4659623055695,7924.4659623055695,854.7500000000081
9976.311574844403,9976.311574844403,854.7500000000081
12559.43215754791,12559.43215754791,854.7500000000081
15811.388300841894,15811.388300841894,854.7500000000081
19905.358527674845,19905.358527674845,854.7500000000081
25059.36168136362,25059.36168136362,854.7500000000081
31547.86722400971,31547.86722400971,854.7500000000081
39716.411736214104,39716.411736214104,1261.1388888888102
49999.99999999999,49999.99999999999,2048.3888888894307
62946.2705897083,62946.2705897083,3540.9444444445353
79244.65962305569,79244.65962305569,6114.111111106256
