% Model,TS_rigid_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 3 2026, 11:31"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-115.87549926120232
52.96268625886442,-115.31304073992425
56.10092271509817,-114.74408248711347
59.42511137185091,-114.16806020600106
62.94627058970836,-113.58438501486833
66.6760716081662,-112.99244753004508
70.6268772311377,-112.39162308430308
74.81178280472167,-111.78127812321726
79.24465962305565,-111.16077777342934
83.94020090612803,-110.52949451635122
88.91397050194612,-109.88681783061347
94.18245447449,-109.2321645902621
99.76311574844398,-108.56498992888461
105.67445199183237,-107.88479820941703
111.93605692841699,-107.19115368342982
118.56868528308274,-106.48369038991932
125.59432157547896,-105.7621208389407
133.0362529899404,-105.0262430541373
140.91914656322274,-104.27594561125639
149.26913094589798,-103.51121040411337
158.11388300841895,-102.73211298815241
167.48271957891376,-101.93882048426912
177.40669461678763,-101.13158715995763
187.91870214422212,-100.31074792827476
199.05358527674863,-99.47671010687768
210.8482517142911,-98.62994385130919
223.34179607548148,-97.77097171472562
236.5756294807401,-96.90035779024711
250.5936168136362,-96.01869686567292
265.4422221154942,-95.12660396963086
281.1706625951745,-94.2247046210217
297.8310717645051,-93.31362601794213
315.47867224009644,-92.39398932538883
334.1719587843074,-91.46640314889966
353.97289219206897,-90.53145821813386
374.94710466622786,-89.58972325263386
397.16411736214064,-88.6417419426
420.6975708225973,-87.68803095005023
445.6254690668729,-86.72907881907835
472.0304381429617,-85.76534567628308
499.99999999999994,-84.7972636019381
529.6268625886448,-83.82523755717982
561.0092271509814,-82.8496467606618
594.2511137185094,-81.8708464183019
629.4627058970837,-80.88916972074733
666.7607160816619,-79.90493003412317
706.2687723113777,-78.91842321990298
748.1178280472163,-77.92993002900232
792.4465962305569,-76.93971852327793
839.4020090612802,-75.94804648454172
889.1397050194613,-74.95516377714117
941.8245447449009,-73.96131463536811
997.6311574844393,-72.96673985180877
1056.7445199183237,-71.97167884764981
1119.36056928417,-70.9763716113642
1185.6868528308275,-69.98106049857203
1255.943215754791,-68.98599189363235
1330.362529899404,-67.99141774303563
1409.1914656322274,-66.99759698218368
1492.69130945898,-66.00479689074731
1581.1388300841895,-65.01329442737837
1674.8271957891395,-64.02337761178791
1774.0669461678763,-63.03534704048793
1879.1870214422213,-62.04951764104905
1990.5358527674864,-61.06622078762925
2108.482517142911,-60.085806916807385
2233.417960754817,-59.10864879670312
2365.756294807401,-58.13514561363296
2505.936168136362,-57.16572804949871
2654.422221154942,-56.20086453103889
2811.706625951745,-55.24106884135303
2978.3107176450544,-54.286909298343566
3154.7867224009647,-53.339019728562185
3341.719587843074,-52.39811250406399
3539.72892192069,-51.46499397044924
3749.4710466622787,-50.54058268270218
3971.6411736214104,-49.62593098772001
4206.975708225973,-48.72225065354346
4456.2546906687285,-47.83094344845593
4720.304381429617,-46.953637818663026
4999.999999999999,-46.092233097323636
5296.268625886442,-45.24895299025759
5610.0922715098195,-44.4264104061888
5942.5111371850935,-43.627686002477475
6294.6270589708365,-42.85642305917221
6667.607160816619,-42.11694142256954
7062.687723113769,-41.41437321997649
7481.178280472171,-40.75482280313896
7924.4659623055695,-40.1455529391509
8394.020090612803,-39.59519871316062
8891.397050194613,-39.114010016981986
9418.245447448999,-38.71412256463318
9976.311574844403,-38.40985406782889
10567.445199183237,-38.21800886675624
11193.605692841687,-38.15812699518469
11856.868528308274,-38.252463200757234
12559.43215754791,-38.52503440788232
13303.625298994068,-38.99780155280026
14091.914656322273,-39.67861905330763
14926.913094589783,-40.5277331052274
15811.388300841894,-41.38233953434825
16748.271957891393,-41.8737490712913
17740.6694616788,-41.595021607139074
18791.870214422215,-40.595259153829005
19905.358527674845,-39.359352802610886
21084.82517142911,-38.31695589435316
22334.179607548172,-37.69879414261504
23657.56294807406,-37.622458646806734
25059.36168136362,-38.14437706833721
26544.222211549393,-39.18147292831901
28117.06625951745,-40.17697043913262
29783.107176450543,-40.025430696816464
31547.86722400971,-38.766917611542546
33417.19587843074,-37.6706862673968
35397.28921920686,-37.49381102628205
37494.71046662279,-38.37550062560157
39716.411736214104,-39.52971164810978
42069.75708225982,-39.07565009634565
44562.54690668729,-37.73334864604627
47203.04381429612,-37.53431151294688
49999.99999999999,-38.727072473559204
52962.68625886448,-39.04099508650519
56100.922715098255,-37.68794156566243
59425.11137185094,-37.746385427248846
62946.2705897083,-38.95882731654872
66676.0716081662,-37.97286894400792
70626.87723113777,-37.67703533645302
74811.78280472178,-38.79345330208625
79244.65962305569,-37.656456675753034
83940.20090612794,-38.23310758292281
88913.97050194613,-38.146881369718926
