% Model,TS_elastic_shell_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 8 2026, 09:35"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-126.08075674257434
56.10092271509817,-124.76856608657371
62.94627058970836,-123.40503987622992
70.6268772311377,-121.9868647812798
79.24465962305565,-120.51194975771337
88.91397050194612,-118.9796321031516
99.76311574844398,-117.39074521951879
111.93605692841699,-115.74753403960213
125.59432157547896,-114.05343584914857
140.91914656322274,-112.31277017389704
158.11388300841895,-110.53039315480612
177.40669461678763,-108.7113680350278
199.05358527674863,-106.86068869437021
223.34179607548148,-104.98307466062484
250.5936168136362,-103.08283973364907
281.1706625951745,-101.16382539402812
315.47867224009644,-99.22938494032117
353.97289219206897,-97.28240343029738
397.16411736214064,-95.32534033901008
445.6254690668729,-93.36028476879818
499.99999999999994,-91.38901610223749
561.0092271509814,-89.4130656292813
629.4627058970837,-87.43377671674394
706.2687723113777,-85.45236254697588
792.4465962305569,-83.46996142370566
889.1397050194613,-81.48769031195242
997.6311574844393,-79.50669776851021
1119.36056928417,-77.52821792388728
1255.943215754791,-75.55362781163643
1409.1914656322274,-73.58451122009852
1581.1388300841895,-71.62273340924023
1774.0669461678763,-69.67053250014499
1990.5358527674864,-67.73063513610504
2233.417960754817,-65.80640629436134
2505.936168136362,-63.90204632783235
2811.706625951745,-62.02285332227299
3154.7867224009647,-60.175577320346925
3539.72892192069,-58.36890797542754
3971.6411736214104,-56.61416467408994
4456.2546906687285,-54.92630983091348
4999.999999999999,-53.32550577963196
5610.0922715098195,-51.839631255860596
6294.6270589708365,-50.508520541613706
7062.687723113769,-49.38984683920331
7924.4659623055695,-48.613781484604566
8891.397050194613,-48.29935304391191
9976.311574844403,-48.84442117359127
11193.605692841687,-50.92306918405519
12559.43215754791,-50.80993823870223
14091.914656322273,-40.734881768280786
15811.388300841894,-29.76796213617994
17740.6694616788,-23.255206242582922
19905.358527674845,-28.566381213497767
22334.179607548172,-30.68219090902208
25059.36168136362,-28.377733076174515
28117.06625951745,-25.656726814001512
31547.86722400971,-27.912797821797668
35397.28921920686,-27.412160217431175
39716.411736214104,-26.93490902857124
44562.54690668729,-28.434583975353362
49999.99999999999,-35.55106553525737
56100.922715098255,-30.50281107157005
62946.2705897083,-39.21525460150033
