% Model,Rockfish_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 4 2026, 11:54"
% Dimension,1
% Nodes,362
% Expressions,1
% Description,Radiation pattern
% theta,20*log10(abs(acpr.efc1.pext))
0,-24.794439528794573
0.03490658503988659,-24.922996538515196
0.06981317007977318,-25.41703066977169
0.10471975511965977,-25.46962182230018
0.13962634015954636,-24.382759782877493
0.17453292519943295,-22.68631712194764
0.20943951023931953,-21.187267940471894
0.24434609527920614,-20.217923125191568
0.2792526803190927,-19.84438177654111
0.3141592653589793,-20.041588178476594
0.3490658503988659,-20.728849530267006
0.3839724354387525,-21.749836118846268
0.41887902047863906,-22.838553576043523
0.4537856055185257,-23.625620018294132
0.4886921905584123,-23.81941521386217
0.5235987755982988,-23.523009860715405
0.5585053606381855,-23.18692890775559
0.5934119456780721,-23.237635934564786
0.6283185307179586,-23.91046774637489
0.6632251157578452,-25.263769492917937
0.6981317007977318,-27.16573503660884
0.7330382858376184,-29.193492887463247
0.767944870877505,-30.65293310488348
0.8028514559173915,-31.15960874962041
0.8377580409572781,-31.088903024119865
0.8726646259971648,-31.043626709769985
0.9075712110370514,-31.37936476422808
0.9424777960769379,-32.10284452826353
0.9773843811168246,-32.85231214886759
1.0122909661567112,-33.14432765042495
1.0471975511965976,-32.92661047410269
1.0821041362364843,-32.51825534168034
1.117010721276371,-32.16061258459099
1.1519173063162575,-31.98231436360504
1.1868238913561442,-32.06253052487447
1.2217304763960306,-32.36125870147135
1.2566370614359172,-32.66204025773165
1.2915436464758039,-32.699802420367526
1.3264502315156903,-32.41896050125765
1.361356816555577,-32.01344305605277
1.3962634015954636,-31.734037076172537
1.43116998663535,-31.751510610996235
1.4660765716752369,-32.11885375255178
1.5009831567151233,-32.79851668339426
1.53588974175501,-33.75433174224245
1.5707963267948966,-34.9837869093511
1.605702911834783,-36.27007652153736
1.6406094968746698,-36.93022817987721
1.6755160819145563,-36.70834655370538
1.710422666954443,-36.30455036973043
1.7453292519943295,-35.92339587814719
1.780235837034216,-34.99680481344528
1.8151424220741028,-33.58797202007571
1.8500490071139892,-32.57669537700469
1.8849555921538759,-32.60519736990348
1.9198621771937625,-33.99522334729536
1.9547687622336491,-36.62604722868525
1.9896753472735356,-37.599862847170854
2.0245819323134224,-34.79964712807082
2.0594885173533086,-32.27566963360619
2.0943951023931953,-30.983627467961462
2.129301687433082,-30.649394217487757
2.1642082724729685,-30.979852865756932
2.199114857512855,-31.85191552919598
2.234021442552742,-33.33847277052453
2.2689280275926285,-35.448364685031045
2.303834612632515,-37.532659582562225
2.3387411976724013,-38.57978506452684
2.3736477827122884,-39.197845300098265
2.4085543677521746,-39.881784880459755
2.443460952792061,-39.20587082683203
2.478367537831948,-37.68831216060521
2.5132741228718345,-37.327096605017125
2.548180707911721,-38.61054017604795
2.5830872929516078,-39.38014338592556
2.6179938779914944,-36.709241088345685
2.6529004630313806,-33.98793346102308
2.6878070480712677,-32.593385740094
2.722713633111154,-32.182908699119736
2.7576202181510405,-32.13526087068126
2.792526803190927,-31.96416564874362
2.827433388230814,-31.714403109533308
2.8623399732707,-31.75299795337326
2.897246558310587,-32.345802273436554
2.9321531433504737,-33.54682858346907
2.9670597283903604,-35.047821302452455
3.0019663134302466,-35.712366159110395
3.036872898470133,-34.5198117950614
3.07177948351002,-32.558698722547774
3.106686068549907,-31.010269337594615
3.141592653589793,-30.2322376284446
3.1764992386296798,-30.282914775817584
3.211405823669566,-31.155455540812422
3.2463124087094526,-32.8090161340094
3.2812189937493397,-35.05735713807588
3.3161255787892263,-37.139262793261935
3.3510321638291125,-37.60002359639554
3.385938748868999,-36.52129660783067
3.420845333908886,-35.30553659570323
3.455751918948773,-34.58884051521162
3.490658503988659,-34.48428225872039
3.5255650890285457,-34.98519193168326
3.560471674068432,-36.11159590987954
3.5953782591083185,-38.03712074793033
3.6302848441482056,-41.31018125961795
3.6651914291880923,-47.087779988243284
3.7000980142279785,-47.77777929145991
3.735004599267865,-41.91978526091312
3.7699111843077517,-39.096410243068725
3.804817769347638,-38.512059197872496
3.839724354387525,-39.75180599604454
3.8746309394274117,-41.36126208334581
3.9095375244672983,-39.180202474336056
3.9444441095071845,-35.63974482273254
3.979350694547071,-33.33420395168866
4.014257279586958,-32.351394143312355
4.049163864626845,-32.60159682704942
4.084070449666731,-34.20164937869296
4.118977034706617,-37.71064957449268
4.153883619746504,-45.504054035157296
4.1887902047863905,-53.42042090950705
4.223696789826278,-42.62881248801489
4.258603374866164,-40.475142466895534
4.293509959906051,-42.03039463031896
4.328416544945937,-49.714767432123416
4.363323129985823,-49.72065621327403
4.39822971502571,-40.15519498281445
4.4331363000655974,-36.48299245190737
4.468042885105484,-34.951227792777665
4.50294947014537,-34.66180078678802
4.537856055185257,-35.130862167080274
4.572762640225144,-35.962140817724446
4.60766922526503,-36.82224892558396
4.642575810304916,-37.437072549030404
4.677482395344803,-37.5617705564695
4.71238898038469,-37.14416161750347
4.747295565424577,-36.40204588062643
4.782202150464463,-35.52207720725883
4.817108735504349,-34.53511231858117
4.852015320544236,-33.51640297829036
4.886921905584122,-32.681511640764924
4.921828490624009,-32.25041335380634
4.956735075663896,-32.333740230435026
4.991641660703783,-32.931367711874316
5.026548245743669,-33.96127325788727
5.061454830783555,-35.20434036897187
5.096361415823442,-36.09035641626632
5.131268000863329,-35.91651306968797
5.1661745859032155,-34.9227200016297
5.201081170943102,-33.821131234185955
