% Model,TS_rigid_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 8 2026, 12:35"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-115.25587946172732
56.10092271509817,-114.13480840036152
62.94627058970836,-112.98706924730342
70.6268772311377,-111.80798380983168
79.24465962305565,-110.59258196718496
88.91397050194612,-109.33580333575563
99.76311574844398,-108.03277090365941
111.93605692841699,-106.67911953659875
125.59432157547896,-105.27134367122551
140.91914656322274,-103.80711326221368
158.11388300841895,-102.28550229647996
177.40669461678763,-100.7070848415132
199.05358527674863,-99.07387872688018
223.34179607548148,-97.38914895351918
250.5936168136362,-95.6571107274185
281.1706625951745,-93.8825866869977
315.47867224009644,-92.0706717449645
353.97289219206897,-90.22644571500757
397.16411736214064,-88.35475552377304
445.6254690668729,-86.46007177394472
499.99999999999994,-84.5464124360508
561.0092271509814,-82.61732029532786
629.4627058970837,-80.6758793687527
706.2687723113777,-78.72475706905475
792.4465962305569,-76.76626181411132
889.1397050194613,-74.80240894411735
997.6311574844393,-72.83499060820577
1119.36056928417,-70.86564749543943
1255.943215754791,-68.89594193418654
1409.1914656322274,-66.92743312092888
1581.1388300841895,-64.96175626809868
1774.0669461678763,-63.00070848638776
1990.5358527674864,-61.04634543048337
2233.417960754817,-59.101094334975166
2505.936168136362,-57.16789131642307
2811.706625951745,-55.25035415592882
3154.7867224009647,-53.35300693105608
3539.72892192069,-51.48158097948005
3971.6411736214104,-49.64342948213261
4456.2546906687285,-47.84811320521467
4999.999999999999,-46.10824758015521
5610.0922715098195,-44.44075540124065
6294.6270589708365,-42.8687565182983
7062.687723113769,-41.42443658030196
7924.4659623055695,-40.15326904796221
8891.397050194613,-39.119681178021864
9976.311574844403,-38.41369731262537
11193.605692841687,-38.158416741844945
12559.43215754791,-38.51741540623412
14091.914656322273,-39.66301406162334
15811.388300841894,-41.370416710442925
17740.6694616788,-41.593021622927644
19905.358527674845,-39.38962445048161
