% Model,TS_rigid_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 8 2026, 12:02"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-115.87804083092635
56.10092271509817,-114.74655428035655
62.94627058970836,-113.58677781211321
70.6268772311377,-112.39392681904731
79.24465962305565,-111.16298160876295
88.91397050194612,-109.88891027622968
99.76311574844398,-108.56695898308982
111.93605692841699,-107.19298697089377
125.59432157547896,-105.76380570388409
140.91914656322274,-104.2774691227818
158.11388300841895,-102.7334618233603
177.40669461678763,-101.13274735078436
199.05358527674863,-99.47766666271983
223.34179607548148,-97.77170815672679
250.5936168136362,-96.01919472374895
281.1706625951745,-94.22494295008076
315.47867224009644,-92.39394429687431
353.97289219206897,-90.53110284401653
397.16411736214064,-88.64104599774544
445.6254690668729,-86.7280090485172
499.99999999999994,-84.79578433223358
561.0092271509814,-82.84772107562807
629.4627058970837,-80.88676140261799
706.2687723113777,-78.9154996828569
792.4465962305569,-76.93625495474994
889.1397050194613,-74.95114862434808
997.6311574844393,-72.96218161420752
1119.36056928417,-70.971306598292
1255.943215754791,-68.98049217507183
1409.1914656322274,-66.99177723490146
1581.1388300841895,-65.00731585656017
1774.0669461678763,-63.029416215337804
1990.5358527674864,-61.060581315784134
2233.417960754817,-59.10356452952012
2505.936168136362,-57.161458073196286
2811.706625951745,-55.23783666650412
3154.7867224009647,-53.33698124035106
3539.72892192069,-51.46420999009094
3971.6411736214104,-49.62635000604984
4456.2546906687285,-47.832398091629486
4999.999999999999,-46.094450846588906
5610.0922715098195,-44.429036375335855
6294.6270589708365,-42.85905182139524
7062.687723113769,-41.41658883007637
7924.4659623055695,-40.14698068574914
8891.397050194613,-39.114385672671624
9976.311574844403,-38.409108071255766
11193.605692841687,-38.15645957651786
12559.43215754791,-38.52295749521555
14091.914656322273,-39.677029146274265
15811.388300841894,-41.38232695489913
17740.6694616788,-41.59419197202081
19905.358527674845,-39.355615940499476
