% Model,Rockfish_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 1 2026, 16:26"
% Table,Table 2 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (0, 0, 1000)"
49.99999999999999,-63.90701384987356
52.96268625886442,-62.864178184690864
56.10092271509817,-61.8158590490539
59.42511137185091,-60.761317315310194
62.94627058970836,-59.69970397155812
66.6760716081662,-58.630040907238964
70.6268772311377,-57.55119752304501
74.81178280472167,-56.46186201503343
79.24465962305565,-55.360505802997096
83.94020090612803,-54.24533902108596
88.91397050194612,-53.11425421406761
94.18245447449,-51.96475424371051
99.76311574844398,-50.793858738277194
105.67445199183237,-49.59798087587493
111.93605692841699,-48.37276237715227
118.56868528308274,-47.112848363333946
125.59432157547896,-45.811573586865705
133.0362529899404,-44.46051441946997
140.91914656322274,-43.048830994701376
149.26913094589798,-41.56226902058443
158.11388300841895,-39.981585061116256
167.48271957891376,-38.2799425032497
177.40669461678763,-36.41834722763121
187.91870214422212,-34.33703231885319
199.05358527674863,-31.937525782486297
210.8482517142911,-29.03987865088505
223.34179607548148,-25.25728675401201
236.5756294807401,-19.46683526306208
250.5936168136362,-3.271182499214047
265.4422221154942,-15.011417597861747
281.1706625951745,-21.549061067923752
297.8310717645051,-24.906052595090287
315.47867224009644,-27.090935596266736
334.1719587843074,-28.663504898044305
353.97289219206897,-29.861045641973778
374.94710466622786,-30.80656430021442
397.16411736214064,-31.57210290431699
420.6975708225973,-32.20349308464739
445.6254690668729,-32.73169456996852
472.0304381429617,-33.178595991730994
499.99999999999994,-33.560236901315776
529.6268625886448,-33.88871535574867
561.0092271509814,-34.1733765645169
594.2511137185094,-34.42158535257781
629.4627058970837,-34.63924618729267
666.7607160816619,-34.831163987839375
706.2687723113777,-35.00130112727368
748.1178280472163,-35.152964806126015
792.4465962305569,-35.288946570759435
839.4020090612802,-35.411628247966334
889.1397050194613,-35.52306389383587
941.8245447449009,-35.625044367304454
997.6311574844393,-35.71914918628344
1056.7445199183237,-35.806789024706404
1119.36056928417,-35.889241331951524
1185.6868528308275,-35.967680959785355
1255.943215754791,-36.043207276889
1330.362529899404,-36.11686898008358
1409.1914656322274,-36.18968763757192
1492.69130945898,-36.26268089846734
1581.1388300841895,-36.33688625776763
1674.8271957891395,-36.41338626361866
1774.0669461678763,-36.49333608062303
1879.1870214422213,-36.57799435924301
1990.5358527674864,-36.66875837036046
2108.482517142911,-36.76720427148347
2233.417960754817,-36.87513302163284
2365.756294807401,-36.99462152695073
2505.936168136362,-37.12807637605028
2654.422221154942,-37.27828249416041
2811.706625951745,-37.44842788252173
2978.3107176450544,-37.64206094461076
3154.7867224009647,-37.862882279072
3341.719587843074,-38.11415168080118
3539.72892192069,-38.397225100757055
3749.4710466622787,-38.70817730674488
3971.6411736214104,-39.03044759072187
4206.975708225973,-39.3204309109907
4456.2546906687285,-39.48615008564983
4720.304381429617,-39.38116242468209
4999.999999999999,-38.88165033532428
5296.268625886442,-38.06715649973607
5610.0922715098195,-37.262612804623934
5942.5111371850935,-37.10516368084942
6294.6270589708365,-37.21093386438706
6667.607160816619,-37.878282995831704
7062.687723113769,-38.888778380501876
7481.178280472171,-40.044769794027424
7924.4659623055695,-41.18237143902694
8394.020090612803,-42.30954990424483
8891.397050194613,-43.36712561933612
9418.245447448999,-43.84596366326262
9976.311574844403,-42.98089866043104
10567.445199183237,-41.336847153610485
11193.605692841687,-40.901453521407475
11856.868528308274,-44.288999130049675
12559.43215754791,-53.39625412647729
13303.625298994068,-46.02663607028607
14091.914656322273,-43.175318279832936
14926.913094589783,-43.73041289088348
15811.388300841894,-44.98153649363481
16748.271957891393,-53.977761892610296
17740.6694616788,-46.27196693625399
18791.870214422215,-42.00500320926174
19905.358527674845,-50.50975524005467
21084.82517142911,-46.04004964358304
22334.179607548172,-42.66007073466451
23657.56294807406,-46.8722867413543
25059.36168136362,-49.97969901998469
26544.222211549393,-43.643940886288945
28117.06625951745,-50.48559230809566
29783.107176450543,-42.0567968092588
31547.86722400971,-41.088629587400504
33417.19587843074,-41.80475109938345
35397.28921920686,-47.295677811457644
37494.71046662279,-47.320368750213284
39716.411736214104,-40.194728675145946
42069.75708225982,-37.48931467324156
44562.54690668729,-37.73545940904999
47203.04381429612,-37.78585670062763
49999.99999999999,-26.396725404245558
52962.68625886448,-24.033591397643367
56100.922715098255,-33.88491062406967
59425.11137185094,-22.811407170900168
62946.2705897083,-17.55868470118013
66676.0716081662,-33.52137482183039
70626.87723113777,-17.46931102637607
74811.78280472178,-23.43565966034735
79244.65962305569,-17.558950664393002
83940.20090612794,-14.789880148048802
88913.97050194613,-15.002794998409232
