% Model,TS_soft_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 3 2026, 11:42"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-25.57602839879262
52.96268625886442,-25.609495874472515
56.10092271509817,-25.644830932282048
59.42511137185091,-25.68212760330557
62.94627058970836,-25.721483136640643
66.6760716081662,-25.762997874772463
70.6268772311377,-25.806775084348857
74.81178280472167,-25.8529207365417
79.24465962305565,-25.901543230858273
83.94020090612803,-25.952753055993018
88.91397050194612,-26.006662381133378
94.18245447449,-26.063384571054712
99.76311574844398,-26.1230336183988
105.67445199183237,-26.18572348675622
111.93605692841699,-26.251567358586648
118.56868528308274,-26.320676782652576
125.59432157547896,-26.39316071653472
133.0362529899404,-26.4691244609625
140.91914656322274,-26.548668484160043
149.26913094589798,-26.63188713618219
158.11388300841895,-26.718867255303834
167.48271957891376,-26.809686670921337
177.40669461678763,-26.904412610109528
187.91870214422212,-27.00310001791856
199.05358527674863,-27.105789804645482
210.8482517142911,-27.212507036621126
223.34179607548148,-27.32325909044201
236.5756294807401,-27.438033793978846
250.5936168136362,-27.556797580831297
265.4422221154942,-27.67949368809387
281.1706625951745,-27.806040430303575
297.8310717645051,-27.93632958518551
315.47867224009644,-28.070224929297222
334.1719587843074,-28.207560963872943
353.97289219206897,-28.34814187312385
374.94710466622786,-28.491740758993135
397.16411736214064,-28.63809919795457
420.6975708225973,-28.78692716694262
445.6254690668729,-28.93790338692812
472.0304381429617,-29.090676134033057
499.99999999999994,-29.24486456929472
529.6268625886448,-29.400060639097944
561.0092271509814,-29.55583159859236
594.2511137185094,-29.7117232096305
629.4627058970837,-29.86726366233755
666.7607160816619,-30.021968264571882
706.2687723113777,-30.175344935420764
748.1178280472163,-30.32690052654634
792.4465962305569,-30.47614797779701
839.4020090612802,-30.622614290269592
889.1397050194613,-30.765849270576812
941.8245447449009,-30.905434964515955
997.6311574844393,-31.040995657409958
1056.7445199183237,-31.172208273685854
1119.36056928417,-31.298812962206313
1185.6868528308275,-31.420623609814243
1255.943215754791,-31.53753798745134
1330.362529899404,-31.649547205469013
1409.1914656322274,-31.756744141561036
1492.69130945898,-31.859330509666712
1581.1388300841895,-31.957622263362975
1674.8271957891395,-32.05205307286153
1774.0669461678763,-32.143175678476105
1879.1870214422213,-32.23166100029938
1990.5358527674864,-32.31829496610686
2108.482517142911,-32.403973097028846
2233.417960754817,-32.48969295125386
2365.756294807401,-32.57654455671884
2505.936168136362,-32.66569895066273
2654.422221154942,-32.758394873511364
2811.706625951745,-32.85592352391322
2978.3107176450544,-32.959611058831435
3154.7867224009647,-33.07079820663192
3341.719587843074,-33.1908159430498
3539.72892192069,-33.320955654224974
3749.4710466622787,-33.46243158003199
3971.6411736214104,-33.61633261438938
4206.975708225973,-33.783559793330326
4456.2546906687285,-33.964745153707064
4720.304381429617,-34.16014735305346
4999.999999999999,-34.3695199830668
5296.268625886442,-34.59195070664581
5610.0922715098195,-34.82567448419984
5942.5111371850935,-35.067873977738465
6294.6270589708365,-35.31449657494918
6667.607160816619,-35.560141086509404
7062.687723113769,-35.79809506000246
7481.178280472171,-36.020625270273655
7924.4659623055695,-36.219618300657444
8394.020090612803,-36.38760798426031
8891.397050194613,-36.519096954563686
9418.245447448999,-36.611908432228645
9976.311574844403,-36.66817683480255
10567.445199183237,-36.694604330027744
11193.605692841687,-36.70180520328039
11856.868528308274,-36.70283478228482
12559.43215754791,-36.71119587949534
13303.625298994068,-36.73864572162168
14091.914656322273,-36.793043330192326
14926.913094589783,-36.876428742633266
15811.388300841894,-36.983656505041075
16748.271957891393,-37.1022579426565
17740.6694616788,-37.214564892546434
18791.870214422215,-37.30286155299825
19905.358527674845,-37.35669359320631
21084.82517142911,-37.37886527810285
22334.179607548172,-37.38560073966241
23657.56294807406,-37.39908446133223
25059.36168136362,-37.43546959249257
26544.222211549393,-37.4947402183026
28117.06625951745,-37.55941884876936
29783.107176450543,-37.606406289327325
31547.86722400971,-37.62666955291656
33417.19587843074,-37.63477395861165
35397.28921920686,-37.654060327508525
37494.71046662279,-37.68997097672408
39716.411736214104,-37.723653210656984
42069.75708225982,-37.73926674953974
44562.54690668729,-37.748503919574304
47203.04381429612,-37.76861179066287
49999.99999999999,-37.790251518593514
52962.68625886448,-37.801104455369824
56100.922715098255,-37.81485057039662
59425.11137185094,-37.83307371056834
62946.2705897083,-37.84219204326368
66676.0716081662,-37.8567596530396
70626.87723113777,-37.86967413228766
74811.78280472178,-37.872599384230874
79244.65962305569,-37.88454269197353
83940.20090612794,-37.88270980434621
88913.97050194613,-37.895745605532184
