% Model,TS_soft_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 4 2026, 10:59"
% Table,Table 3 - Volume Maximum 1
% f0 (Hz),freq (Hz),Element size (m)
49.99999999999999,49.99999999999999,0.030177821067143156
62.94627058970836,62.94627058970836,0.030177821067143156
79.24465962305565,79.24465962305565,0.030177821067143156
99.76311574844398,99.76311574844398,0.030177821067143156
125.59432157547896,125.59432157547896,0.030177821067143156
158.11388300841895,158.11388300841895,0.030177821067143156
199.05358527674863,199.05358527674863,0.030177821067143156
250.5936168136362,250.5936168136362,0.030177821067143156
315.47867224009644,315.47867224009644,0.030177821067143156
397.16411736214064,397.16411736214064,0.030177821067143156
499.99999999999994,499.99999999999994,0.030177821067143156
629.4627058970837,629.4627058970837,0.030177821067143156
792.4465962305569,792.4465962305569,0.030177821067143156
997.6311574844393,997.6311574844393,0.030177821067143156
1255.943215754791,1255.943215754791,0.030177821067143156
1581.1388300841895,1581.1388300841895,0.030177821067143156
1990.5358527674864,1990.5358527674864,0.030177821067143156
2505.936168136362,2505.936168136362,0.030177821067143156
3154.7867224009647,3154.7867224009647,0.030177821067143156
3971.6411736214104,3971.6411736214104,0.030177821067143156
4999.999999999999,4999.999999999999,0.030177821067143156
6294.6270589708365,6294.6270589708365,0.030177821067143156
7924.4659623055695,7924.4659623055695,0.030177821067143156
9976.311574844403,9976.311574844403,0.030177821067143156
12559.43215754791,12559.43215754791,0.02836428963195118
15811.388300841894,15811.388300841894,0.019726571647334316
19905.358527674845,19905.358527674845,0.018812823119321694
25059.36168136362,25059.36168136362,0.01511260910608161
31547.86722400971,31547.86722400971,0.011930891037280528
39716.411736214104,39716.411736214104,0.009094151922939723
49999.99999999999,49999.99999999999,0.0075450777894130764
62946.2705897083,62946.2705897083,0.0058634957007177475
79244.65962305569,79244.65962305569,0.0048058773670263556
