% Model,Rockfish_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 1 2026, 16:58"
% Table,Table 2 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1000, 0, 0)"
49.99999999999999,-64.10463491415376
52.96268625886442,-63.06178801057029
56.10092271509817,-62.01345642663902
59.42511137185091,-60.95890087019057
62.94627058970836,-59.897272146675945
66.6760716081662,-58.827591942138575
70.6268772311377,-57.74872943022358
74.81178280472167,-56.65937255401853
79.24465962305565,-55.557992449960395
83.94020090612803,-54.44279893548071
88.91397050194612,-53.311684200537016
94.18245447449,-52.16215070955396
99.76311574844398,-50.99121764543202
105.67445199183237,-49.795297686767015
111.93605692841699,-48.57003199406282
118.56868528308274,-47.31006505991979
125.59432157547896,-46.00873093145576
133.0362529899404,-44.65760518851012
140.91914656322274,-43.245847075531174
149.26913094589798,-41.75920130220935
158.11388300841895,-40.17842331120899
167.48271957891376,-38.47667522965501
177.40669461678763,-36.614961522856426
187.91870214422212,-34.53351368474844
199.05358527674863,-32.133857933005935
210.8482517142911,-29.23604329002061
223.34179607548148,-25.453263325542753
236.5756294807401,-19.662600668515303
250.5936168136362,-3.466710780156533
265.4422221154942,-15.206679577797486
281.1706625951745,-21.74402394696611
297.8310717645051,-25.100679494113677
315.47867224009644,-27.2851850408912
334.1719587843074,-28.85733023559451
353.97289219206897,-30.054394381993124
374.94710466622786,-30.9993773679145
397.16411736214064,-31.7643137946918
420.6975708225973,-32.395026903172656
445.6254690668729,-32.922466943580176
472.0304381429617,-33.36851183114781
499.99999999999994,-33.749188992728186
529.6268625886448,-34.07658275624465
561.0092271509814,-34.36002277131272
594.2511137185094,-34.606856210978634
629.4627058970837,-34.822967496171444
666.7607160816619,-35.01313875408377
706.2687723113777,-35.181306411821346
748.1178280472163,-35.33074809359825
792.4465962305569,-35.46422158188359
839.4020090612802,-35.5840700984845
889.1397050194613,-35.6923034848175
941.8245447449009,-35.79066186898966
997.6311574844393,-35.880666449892914
1056.7445199183237,-35.96366072297998
1119.36056928417,-36.040844588239445
1185.6868528308275,-36.11330317577844
1255.943215754791,-36.182031808766965
1330.362529899404,-36.247958239977635
1409.1914656322274,-36.311963109606666
1492.69130945898,-36.374899454096294
1581.1388300841895,-36.43761203179443
1674.8271957891395,-36.500957209302
1774.0669461678763,-36.565824160838716
1879.1870214422213,-36.63315815641432
1990.5358527674864,-36.70398672501799
2108.482517142911,-36.77944941920759
2233.417960754817,-36.860831656439736
2365.756294807401,-36.94960241225333
2505.936168136362,-37.047453837960866
2654.422221154942,-37.15633697614274
2811.706625951745,-37.27847904390639
2978.3107176450544,-37.416348493247675
3154.7867224009647,-37.57249143513431
3341.719587843074,-37.74906856693333
3539.72892192069,-37.94671389421178
3749.4710466622787,-38.16189439390905
3971.6411736214104,-38.381108601777726
4206.975708225973,-38.56920790446678
4456.2546906687285,-38.650565825665986
4720.304381429617,-38.49698063662656
4999.999999999999,-37.97778941078838
5296.268625886442,-37.119753924603344
5610.0922715098195,-36.20745681079502
5942.5111371850935,-35.59435935727778
6294.6270589708365,-35.390190554081244
6667.607160816619,-35.517127491263835
7062.687723113769,-35.813942816676054
7481.178280472171,-36.17754406669934
7924.4659623055695,-36.64560621437229
8394.020090612803,-37.33312589426192
8891.397050194613,-38.260923963915864
9418.245447448999,-39.21322923469279
9976.311574844403,-39.480266192713
10567.445199183237,-37.817651821976554
11193.605692841687,-35.71625192169241
11856.868528308274,-35.281678463052
12559.43215754791,-36.39586146149974
13303.625298994068,-37.76873930149801
14091.914656322273,-39.79291619693649
14926.913094589783,-39.97389886147981
15811.388300841894,-36.710305321430916
16748.271957891393,-34.99610428131136
17740.6694616788,-38.39237870836564
18791.870214422215,-43.718766191035016
19905.358527674845,-39.125840285381436
21084.82517142911,-34.78164078618322
22334.179607548172,-36.853448939730626
23657.56294807406,-51.450223639197915
25059.36168136362,-35.32329786792742
26544.222211549393,-33.44367134942823
28117.06625951745,-50.91388938198505
29783.107176450543,-36.442751603306945
31547.86722400971,-33.29115637246932
33417.19587843074,-38.751538442063755
35397.28921920686,-34.48168784605465
37494.71046662279,-42.304551793852305
39716.411736214104,-28.08944875116743
42069.75708225982,-38.13658501597227
44562.54690668729,-26.992878633951
47203.04381429612,-30.97871449129443
49999.99999999999,-27.438769488021645
52962.68625886448,-20.24391390458878
56100.922715098255,-20.990731560621015
59425.11137185094,-20.5321398792591
62946.2705897083,-18.341070029508057
66676.0716081662,-22.62117819299556
70626.87723113777,-16.11535759624887
74811.78280472178,-21.218995364592054
79244.65962305569,-15.193087672993359
83940.20090612794,-16.83369185222989
88913.97050194613,-19.62105617399508
