Frequency_Hz,TargetStrength_dB_re_1m
50,-47.4707836913379
50.0345541650231,-47.4567500294773
50.0691322098525,-47.442713080703
50.1037341509913,-47.4286728389273
50.1383600049538,-47.4146292980482
50.1730097882657,-47.4005824519504
50.2076835174642,-47.3865322945045
50.242381209098,-47.372478819567
50.277102879727,-47.3584220209808
50.3118485459228,-47.3443618925748
50.3466182242682,-47.3302984281636
50.3814119313576,-47.3162316215481
50.416229683797,-47.3021614665148
50.4510714982037,-47.2880879568363
50.4859373912065,-47.2740110862709
50.5208273794457,-47.2599308485626
50.5557414795731,-47.2458472374413
50.590679708252,-47.2317602466226
50.6256420821574,-47.2176698698076
50.6606286179755,-47.2035761006832
50.6956393324042,-47.1894789329217
50.730674242153,-47.175378360181
50.7657333639429,-47.1612743761047
50.8008167145063,-47.1471669743214
50.8359243105875,-47.1330561484456
50.8710561689421,-47.1189418920767
50.9062123063373,-47.1048241987999
50.9413927395519,-47.0907030621853
50.9765974853764,-47.0765784757884
51.0118265606129,-47.0624504331498
51.0470799820749,-47.0483189277954
51.0823577665878,-47.034183953236
51.1176599309885,-47.0200455029677
51.1529864921254,-47.0059035704715
51.1883374668588,-46.9917581492134
51.2237128720606,-46.9776092326442
51.259112724614,-46.9634568141997
51.2945370414145,-46.9493008873007
51.3299858393687,-46.9351414453525
51.3654591353951,-46.9209784817453
51.4009569464241,-46.9068119898541
51.4364792893975,-46.8926419630384
51.472026181269,-46.8784683946424
51.5075976390037,-46.8642912779949
51.5431936795789,-46.8501106064092
51.5788143199833,-46.8359263731831
51.6144595772174,-46.8217385715988
51.6501294682935,-46.8075471949228
51.6858240102357,-46.7933522364062
51.7215432200797,-46.7791536892843
51.7572871148732,-46.7649515467764
51.7930557116754,-46.7507458020865
51.8288490275576,-46.7365364484022
51.8646670796027,-46.7223234788957
51.9005098849053,-46.7081068867229
51.9363774605722,-46.693886665024
51.9722698237216,-46.679662806923
52.0081869914839,-46.6654353055279
52.0441289810009,-46.6512041539305
52.0800958094268,-46.6369693452065
52.1160874939271,-46.6227308724154
52.1521040516795,-46.6084887286003
52.1881454998735,-46.5942429067882
52.2242118557105,-46.5799933999895
52.2603031364037,-46.5657402011983
52.2964193591783,-46.5514833033923
52.3325605412713,-46.5372226995325
52.3687266999318,-46.5229583825636
52.4049178524205,-46.5086903454133
52.4411340160103,-46.4944185809932
52.477375207986,-46.4801430821976
52.5136414456443,-46.4658638419045
52.5499327462938,-46.4515808529747
52.5862491272551,-46.4372941082525
52.6225906058608,-46.423003600565
52.6589571994555,-46.4087093227225
52.6953489253958,-46.3944112675182
52.7317658010501,-46.3801094277284
52.768207843799,-46.365803796112
52.8046750710351,-46.3514943654109
52.841167500163,-46.3371811283498
52.8776851485992,-46.3228640776361
52.9142280337724,-46.3085432059598
52.9507961731233,-46.2942185059936
52.9873895841047,-46.2798899703927
53.0240082841813,-46.265557591795
53.06065229083,-46.2512213628206
53.0973216215397,-46.2368812760721
53.1340162938116,-46.2225373241346
53.1707363251586,-46.2081894995754
53.2074817331062,-46.193837794944
53.2442525351915,-46.179482202772
53.2810487489641,-46.1651227155734
53.3178703919856,-46.1507593258442
53.3547174818296,-46.1363920260622
53.3915900360821,-46.1220208086876
53.4284880723411,-46.1076456661621
53.4654116082168,-46.0932665909096
53.5023606613315,-46.0788835753354
53.5393352493198,-46.0644966118271
53.5763353898284,-46.0501056927535
53.6133611005162,-46.0357108104654
53.6504123990543,-46.0213119572948
53.6874893031261,-46.0069091255557
53.7245918304272,-45.9925023075432
53.7617199986653,-45.978091495534
53.7988738255604,-45.9636766817861
53.8360533288449,-45.9492578585387
53.8732585262632,-45.9348350180125
53.9104894355721,-45.920408152409
53.9477460745407,-45.9059772539113
53.9850284609503,-45.8915423146831
54.0223366125946,-45.8771033268695
54.0596705472795,-45.8626602825963
54.0970302828231,-45.8482131739703
54.1344158370561,-45.8337619930789
54.1718272278213,-45.8193067319907
54.2092644729739,-45.8048473827547
54.2467275903814,-45.7903839374006
54.2842165979238,-45.7759163879388
54.3217315134932,-45.76144472636
54.3592723549943,-45.7469689446356
54.396839140344,-45.7324890347174
54.4344318874718,-45.7180049885374
54.4720506143193,-45.7035167980079
54.5096953388408,-45.6890244550216
54.5473660790027,-45.6745279514512
54.585062852784,-45.6600272791495
54.6227856781762,-45.6455224299495
54.660534573183,-45.631013395664
54.6983095558208,-45.6165001680858
54.7361106441183,-45.6019827389875
54.7739378561166,-45.5874611001215
54.8117912098694,-45.5729352432199
