Frequency_Hz,TargetStrength_dB_re_1m
50,-32.0414776397366
140.04004004004,-32.0433789389874
230.08008008008,-32.0470809443496
320.12012012012,-32.0525818293169
410.16016016016,-32.0598788763752
500.2002002002,-32.068968474259
590.24024024024,-32.0798461142931
680.28028028028,-32.0925063858101
770.320320320321,-32.1069429706276
860.36036036036,-32.1231486365681
950.4004004004,-32.1411152300032
1040.44044044044,-32.1608336674007
1130.48048048048,-32.1822939258531
1220.52052052052,-32.2054850325657
1310.56056056056,-32.2303950532803
1400.6006006006,-32.257011079614
1490.64064064064,-32.285319215292
1580.68068068068,-32.3153045612548
1670.72072072072,-32.3469511996251
1760.76076076076,-32.3802421765219
1850.8008008008,-32.4151594837136
1940.84084084084,-32.4516840391093
2030.88088088088,-32.4897956660929
2120.92092092092,-32.5294730717133
2210.96096096096,-32.570693823753
2301.001001001,-32.6134343267081
2391.04104104104,-32.6576697967254
2481.08108108108,-32.7033742355541
2571.12112112112,-32.750520403587
2661.16116116116,-32.7990797920818
2751.2012012012,-32.8490225946699
2841.24124124124,-32.9003176782832
2931.28128128128,-32.9529325536498
3021.32132132132,-33.0068333455325
3111.36136136136,-33.0619847629103
3201.4014014014,-33.1183500693309
3291.44144144144,-33.1758910536903
3381.48148148148,-33.2345680017259
3471.52152152152,-33.2943396685427
3561.56156156156,-33.3551632525253
3651.6016016016,-33.4169943710219
3741.64164164164,-33.479787038224
3831.68168168168,-33.5434936457005
3921.72172172172,-33.6080649460801
4011.76176176176,-33.6734500404144
4101.8018018018,-33.7395963697855
4191.84184184184,-33.8064497117601
4281.88188188188,-33.873954182318
4371.92192192192,-33.9420522439154
4461.96196196196,-34.0106847203655
4552.002002002,-34.0797908192379
4642.04204204204,-34.1493081624934
4732.08208208208,-34.2191728260737
4822.12212212212,-34.2893193891652
4912.16216216216,-34.3596809938446
5002.2022022022,-34.4301894157872
5092.24224224224,-34.5007751466876
5182.28228228228,-34.5713674889917
5272.32232232232,-34.6418946634754
5362.36236236236,-34.7122839301284
5452.4024024024,-34.7824617227036
5542.44244244244,-34.8523537971861
5632.48248248248,-34.9218853943004
5722.52252252252,-34.990981416035
5812.56256256256,-35.059566615998
5902.6026026026,-35.127565803242
5992.64264264264,-35.1949040590051
6082.68268268268,-35.261506965612
6172.72272272272,-35.3273008465688
6262.76276276277,-35.3922130166667
6352.8028028028,-35.4561720406908
6442.84284284284,-35.5191079991129
6532.88288288288,-35.5809527589372
6622.92292292292,-35.6416402476691
6712.96296296296,-35.7011067281968
6803.003003003,-35.7592910722163
6893.04304304304,-35.8161350296995
6983.08308308308,-35.8715834918087
7073.12312312312,-35.9255847445984
7163.16316316316,-35.978090710827
7253.2032032032,-36.0290571772271
7343.24324324325,-36.0784440046519
7433.28328328329,-36.1262153186367
7523.32332332332,-36.1723396780789
7613.36336336337,-36.216790219951
7703.40340340341,-36.2595447782146
7793.44344344345,-36.3005859753956
7883.48348348349,-36.3399012856051
7973.52352352353,-36.3774830681389
8063.56356356356,-36.4133285711634
8153.60360360361,-36.4474399053695
8243.64364364365,-36.4798239878645
8333.68368368368,-36.5104924569479
8423.72372372372,-36.5394615587793
8513.76376376377,-36.5667520072905
8603.8038038038,-36.5923888190056
8693.84384384385,-36.6164011247128
8783.88388388389,-36.6388219601663
8873.92392392393,-36.6596880381985
8963.96396396397,-36.6790395047627
9054.00400400401,-36.6969196815359
9144.04404404405,-36.7133747977604
9234.08408408409,-36.7284537140153
9324.12412412413,-36.742207640571
