% Model,TS_soft_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 3 2026, 12:41"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-25.518550013437967
56.10092271509817,-25.580712031380493
62.94627058970836,-25.650055790441037
70.6268772311377,-25.72733405148664
79.24465962305565,-25.813354151427053
88.91397050194612,-25.908974068646415
99.76311574844398,-26.01509540635719
111.93605692841699,-26.132652490535726
125.59432157547896,-26.262596713269506
140.91914656322274,-26.40587523683707
158.11388300841895,-26.56340323455369
177.40669461678763,-26.736029008623706
199.05358527674863,-26.92449161716993
223.34179607548148,-27.12937107774925
250.5936168136362,-27.35103179407698
281.1706625951745,-27.589560559932778
315.47867224009644,-27.844701298067875
353.97289219206897,-28.115789557694892
397.16411736214064,-28.401690704106652
445.6254690668729,-28.70074671196484
499.99999999999994,-29.010737601875213
561.0092271509814,-29.328864966477912
629.4627058970837,-29.651766826509018
706.2687723113777,-29.975575186195364
792.4465962305569,-30.296029685405088
889.1397050194613,-30.608661607785855
997.6311574844393,-30.909060375923843
1119.36056928417,-31.193227213670557
1255.943215754791,-31.458005964996193
1409.1914656322274,-31.701559294931304
1581.1388300841895,-31.923833742105035
1774.0669461678763,-32.12693787038145
1990.5358527674864,-32.31535457480626
2233.417960754817,-32.49592813212202
2505.936168136362,-32.67760531249695
2811.706625951745,-32.87095150355971
3154.7867224009647,-33.08748253881597
3539.72892192069,-33.338826333215636
3971.6411736214104,-33.63563964184205
4456.2546906687285,-33.9860528563835
4999.999999999999,-34.39322854401042
5610.0922715098195,-34.85152141772252
6294.6270589708365,-35.34111982853383
7062.687723113769,-35.822868093060414
7924.4659623055695,-36.239192951962835
8891.397050194613,-36.53104279025994
9976.311574844403,-36.67308755546194
11193.605692841687,-36.703889141646286
12559.43215754791,-36.716135142929396
14091.914656322273,-36.80418489831294
15811.388300841894,-36.998413115467756
17740.6694616788,-37.22463697114537
19905.358527674845,-37.35801443457603
