% Model,TS_soft_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 4 2026, 10:48"
% Table,Table 3 - Volume Maximum 1
% f0 (Hz),freq (Hz),Element size (m)
49.99999999999999,49.99999999999999,0.01292978160721712
62.94627058970836,62.94627058970836,0.01292978160721712
79.24465962305565,79.24465962305565,0.01292978160721712
99.76311574844398,99.76311574844398,0.01292978160721712
125.59432157547896,125.59432157547896,0.01292978160721712
158.11388300841895,158.11388300841895,0.01292978160721712
199.05358527674863,199.05358527674863,0.01292978160721712
250.5936168136362,250.5936168136362,0.01292978160721712
315.47867224009644,315.47867224009644,0.01292978160721712
397.16411736214064,397.16411736214064,0.01292978160721712
499.99999999999994,499.99999999999994,0.01292978160721712
629.4627058970837,629.4627058970837,0.01292978160721712
792.4465962305569,792.4465962305569,0.01292978160721712
997.6311574844393,997.6311574844393,0.01292978160721712
1255.943215754791,1255.943215754791,0.01292978160721712
1581.1388300841895,1581.1388300841895,0.01292978160721712
1990.5358527674864,1990.5358527674864,0.01292978160721712
2505.936168136362,2505.936168136362,0.01292978160721712
3154.7867224009647,3154.7867224009647,0.01292978160721712
3971.6411736214104,3971.6411736214104,0.01292978160721712
4999.999999999999,4999.999999999999,0.01292978160721712
6294.6270589708365,6294.6270589708365,0.01292978160721712
7924.4659623055695,7924.4659623055695,0.01292978160721712
9976.311574844403,9976.311574844403,0.01292978160721712
12559.43215754791,12559.43215754791,0.01292978160721712
15811.388300841894,15811.388300841894,0.01292978160721712
19905.358527674845,19905.358527674845,0.01292978160721712
25059.36168136362,25059.36168136362,0.01292978160721712
31547.86722400971,31547.86722400971,0.01292978160721712
39716.411736214104,39716.411736214104,0.010298656851556185
49999.99999999999,49999.99999999999,0.008818003645396238
62946.2705897083,62946.2705897083,0.007679392991079325
79244.65962305569,79244.65962305569,0.005645734203258166
