% Model,Rockfish_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 8 2026, 14:56"
% Table,Table 10 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
0,10000,-99.83248228493187
0,30000,-91.19170229411152
0,50000,-86.60975364525987
0,70000,-68.07403488211168
1,10000,-99.80429478351141
1,30000,-91.14617498631988
1,50000,-88.27525263687352
1,70000,-68.04691462493787
2,10000,-99.7841200271901
2,30000,-91.18211827187503
2,50000,-89.37847186883234
2,70000,-71.31233081850995
3.0000000000000004,10000,-99.77256238877125
3.0000000000000004,30000,-91.30409879780899
3.0000000000000004,50000,-88.25741549326696
3.0000000000000004,70000,-82.16064642454695
4,10000,-99.77013265950966
4,30000,-91.50926926953197
4,50000,-85.91838979881376
4,70000,-79.02376962655083
5,10000,-99.77724508595068
5,30000,-91.79670941062051
5,50000,-84.27041681011232
5,70000,-71.52661229189604
6.000000000000001,10000,-99.79421617272216
6.000000000000001,30000,-92.17106886620128
6.000000000000001,50000,-83.88411296409726
6.000000000000001,70000,-68.75793961439419
7,10000,-99.82126496771271
7,30000,-92.63982139559248
7,50000,-84.78083350200035
7,70000,-68.76978697646571
8,10000,-99.85851458165982
8,30000,-93.2086024912389
8,50000,-86.73205583895658
8,70000,-71.06461087875162
9,10000,-99.90599473788565
9,30000,-93.87951815442763
9,50000,-88.96201067192793
9,70000,-71.88840887229392
10,10000,-99.96364519353256
10,30000,-94.65374007869706
10,50000,-89.75567275287104
10,70000,-71.8383283374368
11,10000,-100.031319917652
11,30000,-95.53576732677988
11,50000,-89.20630279797732
11,70000,-77.25090608537265
12.000000000000002,10000,-100.10879194870856
12.000000000000002,30000,-96.53533176750463
12.000000000000002,50000,-89.85531459955943
12.000000000000002,70000,-83.5762632962492
13,10000,-100.1957588845542
13,30000,-97.66452643240784
13,50000,-94.07993652480113
13,70000,-74.48694428605135
14,10000,-100.29184897732102
14,30000,-98.93018156526506
14,50000,-97.92261626917211
14,70000,-76.10863661218265
14.999999999999998,10000,-100.39662781598221
14.999999999999998,30000,-100.32233867085972
14.999999999999998,50000,-90.19420653091893
14.999999999999998,70000,-86.16803716120175
16,10000,-100.50960557795304
16,30000,-101.80001279558262
16,50000,-87.33249048447229
16,70000,-78.50972377892339
17,10000,-100.63024481960886
17,30000,-103.28096908314983
17,50000,-87.64724885582521
17,70000,-77.50964627100201
18,10000,-100.75796875472162
18,30000,-104.65550721698669
18,50000,-90.56681844915622
18,70000,-81.03455283291103
19,10000,-100.8921699406679
19,30000,-105.84180540997126
19,50000,-96.36836407264049
19,70000,-87.48117154607041
20,10000,-101.0322192583463
20,30000,-106.84397479530182
20,50000,-100.58340060376565
20,70000,-81.2329140720718
21,10000,-101.17747503454522
21,30000,-107.73280865605503
21,50000,-93.85246667262729
21,70000,-76.4114266386786
22,10000,-101.32729212066656
22,30000,-108.55584947518635
22,50000,-90.17827379497908
22,70000,-75.51783171429206
23,10000,-101.48103071167432
23,30000,-109.26526821508904
23,50000,-89.23552228492278
23,70000,-75.99790989120689
24.000000000000004,10000,-101.63806466909841
24.000000000000004,30000,-109.71733087316838
24.000000000000004,50000,-89.7268895541182
24.000000000000004,70000,-75.880262920445
25,10000,-101.79778910565511
25,30000,-109.74706926391632
25,50000,-89.47726772614564
25,70000,-75.89347403151785
26,10000,-101.95962699822523
26,30000,-109.27125768249843
26,50000,-88.56798418024722
26,70000,-77.49763160429546
27,10000,-102.12303462383605
27,30000,-108.33109044291731
27,50000,-88.5659428812631
27,70000,-79.95326570182647
28,10000,-102.28750565758907
28,30000,-107.0519135306867
28,50000,-89.26077004924792
28,70000,-78.0385059374908
29.000000000000004,10000,-102.4525738314087
29.000000000000004,30000,-105.58614120175324
29.000000000000004,50000,-90.17278398935
