% Model,TS_rigid_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 8 2026, 12:10"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-115.31931281264733
56.10092271509817,-114.19698572331961
62.94627058970836,-113.0478039394923
70.6268772311377,-111.86707655686745
79.24465962305565,-110.64982650229567
88.91397050194612,-109.3909943984616
99.76311574844398,-108.08571393328882
111.93605692841699,-106.72964105103807
125.59432157547896,-105.31930075560399
140.91914656322274,-103.85240035806491
158.11388300841895,-102.32805373547954
177.40669461678763,-100.74687234164024
199.05358527674863,-99.1109041661497
223.34179607548148,-97.42343379951251
250.5936168136362,-95.68868418793988
281.1706625951745,-93.91147479949393
315.47867224009644,-92.096889309148
353.97289219206897,-90.24999240148355
397.16411736214064,-88.37561686597782
445.6254690668729,-86.47822517717464
499.99999999999994,-84.56183781085244
561.0092271509814,-82.63001437967867
629.4627058970837,-80.68587219805316
706.2687723113777,-78.73212841842785
792.4465962305569,-76.77115491297609
889.1397050194613,-74.80503856829361
997.6311574844393,-72.83564301319933
1119.36056928417,-70.86467068626033
1255.943215754791,-68.89372639931524
1409.1914656322274,-66.9243850952274
1581.1388300841895,-64.95826735628766
1774.0669461678763,-62.9971265284557
1990.5358527674864,-61.04295137230081
2233.417960754817,-59.098088430542894
2505.936168136362,-57.165389537687275
2811.706625951745,-55.24839297813291
3154.7867224009647,-53.351552718790565
3539.72892192069,-51.48054009330609
3971.6411736214104,-49.6426579958659
4456.2546906687285,-47.84743156731558
4999.999999999999,-46.10747460407644
5610.0922715098195,-44.4397793965728
6294.6270589708365,-42.86763595159837
7062.687723113769,-41.423439901307056
7924.4659623055695,-40.15267108910183
8891.397050194613,-39.11930543975461
9976.311574844403,-38.41290809520202
11193.605692841687,-38.15747549211729
12559.43215754791,-38.518239458772484
14091.914656322273,-39.664384932923284
15811.388300841894,-41.36993980830112
17740.6694616788,-41.6041314608486
19905.358527674845,-39.36968281694172
