% Model,Midshipman_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 1 2026, 18:25"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (0, 0, 1000)"
49.99999999999999,-86.20278376560235
52.96268625886442,-85.19788428881176
56.10092271509817,-84.19238240306396
59.42511137185091,-83.18620360978663
62.94627058970836,-82.17926407503663
66.6760716081662,-81.17146942187958
70.6268772311377,-80.16271337238436
74.81178280472167,-79.1528761875042
79.24465962305565,-78.14182290297323
83.94020090612803,-77.129401305846
88.91397050194612,-76.11543963415181
94.18245447449,-75.09974392506061
99.76311574844398,-74.08209498529266
105.67445199183237,-73.0622448915272
111.93605692841699,-72.03991295886705
118.56868528308274,-71.01478106386648
125.59432157547896,-69.98648821428512
133.0362529899404,-68.95462421066127
140.91914656322274,-67.9187222202388
149.26913094589798,-66.87825003675195
158.11388300841895,-65.83259974033501
167.48271957891376,-64.78107539896908
177.40669461678763,-63.72287834258341
187.91870214422212,-62.657089428350275
199.05358527674863,-61.582647510074665
210.8482517142911,-60.49832310153661
223.34179607548148,-59.402685871249886
236.5756294807401,-58.294064142378446
250.5936168136362,-57.1704938930195
265.4422221154942,-56.02965378826287
281.1706625951745,-54.868781351762806
297.8310717645051,-53.68456324958824
315.47867224009644,-52.47298940021699
334.1719587843074,-51.22915550282403
353.97289219206897,-49.94699032189531
374.94710466622786,-48.618870337476295
397.16411736214064,-47.235060711373826
420.6975708225973,-45.78287903367826
445.6254690668729,-44.24539828489661
472.0304381429617,-42.59934583817745
499.99999999999994,-40.81151434372127
529.6268625886448,-38.83220709748114
561.0092271509814,-36.582183590612644
594.2511137185094,-33.92340893710502
629.4627058970837,-30.581260582846518
666.7607160816619,-25.870757955343954
706.2687723113777,-16.941040040563816
748.1178280472163,-12.541440606474499
792.4465962305569,-23.101799797969598
839.4020090612802,-27.335422357837537
889.1397050194613,-29.906717215880384
941.8245447449009,-31.697081424709175
997.6311574844393,-33.034567753616074
1056.7445199183237,-34.077774161100635
1119.36056928417,-34.91556522371225
1185.6868528308275,-35.602761431093256
1255.943215754791,-36.17556388340245
1330.362529899404,-36.6591243606173
1409.1914656322274,-37.07162006303296
1492.69130945898,-37.42660722154121
1581.1388300841895,-37.734458605680345
1674.8271957891395,-38.003282270896065
1774.0669461678763,-38.239531318491615
1879.1870214422213,-38.448421703413736
1990.5358527674864,-38.63422647181116
2108.482517142911,-38.80048798300487
2233.417960754817,-38.950174237004205
2365.756294807401,-39.085796218940075
2505.936168136362,-39.209497497704874
2654.422221154942,-39.32312372087561
2811.706625951745,-39.428277312706854
2978.3107176450544,-39.52636113127327
3154.7867224009647,-39.61861379067659
3341.719587843074,-39.70613863057429
3539.72892192069,-39.7899278088851
3749.4710466622787,-39.87088263446221
3971.6411736214104,-39.949830999122945
4206.975708225973,-40.02754258238525
4456.2546906687285,-40.10474236715889
4720.304381429617,-40.182122906547654
4999.999999999999,-40.26035571121976
5296.268625886442,-40.3401020768277
5610.0922715098195,-40.42202363704743
5942.5111371850935,-40.50679290670952
6294.6270589708365,-40.595104068946384
6667.607160816619,-40.68768425871261
7062.687723113769,-40.785305601380045
7481.178280472171,-40.88879827885212
7924.4659623055695,-40.99906491772491
8394.020090612803,-41.117096631948215
8891.397050194613,-41.24399114798992
9418.245447448999,-41.38097384410478
9976.311574844403,-41.529425148022625
10567.445199183237,-41.69094600688743
11193.605692841687,-41.86908039752866
11856.868528308274,-42.0565770348506
12559.43215754791,-42.275674667867904
13303.625298994068,-42.50735753287621
14091.914656322273,-42.76542763790132
14926.913094589783,-43.05181284166689
15811.388300841894,-43.370391735905265
16748.271957891393,-43.72644570985372
17740.6694616788,-44.1173697973186
18791.870214422215,-44.59608892929012
19905.358527674845,-44.74315720261203
21084.82517142911,-45.4582786348756
22334.179607548172,-46.025887131758914
23657.56294807406,-46.59521325778823
25059.36168136362,-47.139139699246414
26544.222211549393,-47.361854820433145
28117.06625951745,-47.67306319653648
29783.107176450543,-47.61259731206377
31547.86722400971,-47.17937919193177
33417.19587843074,-46.28897546041991
35397.28921920686,-45.33996952484344
37494.71046662279,-44.306708086103924
39716.411736214104,-43.531191091394874
42069.75708225982,-42.349804719583524
44562.54690668729,-41.914964916820104
47203.04381429612,-41.15482361286574
49999.99999999999,-41.169024398345215
52962.68625886448,-41.43267050671611
56100.922715098255,-41.98137734955347
59425.11137185094,-42.52074409517622
62946.2705897083,-42.7491040847904
66676.0716081662,-42.34240904291959
70626.87723113777,-41.6988310491385
74811.78280472178,-41.306636529565274
79244.65962305569,-41.380421214552115
83940.20090612794,-41.96569912036118
88913.97050194613,-42.855563664303
