% Model,Midshipman_SF.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 1 2026, 18:49"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (0, 1000, 0)"
49.99999999999999,-86.21859924338027
52.96268625886442,-85.21370457581027
56.10092271509817,-84.20820765098713
59.42511137185091,-83.20203403628528
62.94627058970836,-82.19509996713172
66.6760716081662,-81.18731113855377
70.6268772311377,-80.17856135000184
74.81178280472167,-79.16873094629311
79.24465962305565,-78.15768505281386
83.94020090612803,-77.1452715551466
88.91397050194612,-76.13131879907223
94.18245447449,-75.11563294031289
99.76311574844398,-74.09799491631405
105.67445199183237,-73.07815694944577
111.93605692841699,-72.0558385157633
118.56868528308274,-71.03072167137375
125.59432157547896,-70.00244562450523
133.0362529899404,-68.97060039890336
140.91914656322274,-67.9347194116738
149.26913094589798,-66.89427073613763
158.11388300841895,-65.84864676503982
167.48271957891376,-64.79715191676713
177.40669461678763,-63.738987913605825
187.91870214422212,-62.673236052608694
199.05358527674863,-61.59883568076605
210.8482517142911,-60.51455786494442
223.34179607548148,-59.41897289382396
236.5756294807401,-58.31040978637326
250.5936168136362,-57.186905301333155
265.4422221154942,-56.04613897965294
281.1706625951745,-54.88534932779531
297.8310717645051,-53.701224114778306
315.47867224009644,-52.48975449683803
334.1719587843074,-51.24603756240027
353.97289219206897,-49.96400363517555
374.94710466622786,-48.63603094544786
397.16411736214064,-47.25238661959078
420.6975708225973,-45.800390453055414
445.6254690668729,-44.263117902090954
472.0304381429617,-42.61729911923709
499.99999999999994,-40.82972987506585
529.6268625886448,-38.85071696894129
561.0092271509814,-36.601023825642635
594.2511137185094,-33.94261997601067
629.4627058970837,-30.60088782561944
666.7607160816619,-25.890852371552647
706.2687723113777,-16.961658854561023
748.1178280472163,-12.562648067249999
792.4465962305569,-23.123668044387298
839.4020090612802,-27.35803239096895
889.1397050194613,-29.930159991813028
941.8245447449009,-31.7214590830649
997.6311574844393,-33.059994998676345
1056.7445199183237,-34.10437981472803
1119.36056928417,-34.943493971725864
1185.6868528308275,-35.63217578749543
1255.943215754791,-36.20664640002042
1330.362529899404,-36.69208011330491
1409.1914656322274,-37.10667944961938
1492.69130945898,-37.46402911133404
1581.1388300841895,-37.774533885571714
1674.8271957891395,-38.04633783909512
1774.0669461678763,-38.285934583724355
1879.1870214422213,-38.49858565521651
1990.5358527674864,-38.688615396456754
2108.482517142911,-38.85962390981704
2233.417960754817,-39.01464421155488
2365.756294807401,-39.15626051313578
2505.936168136362,-39.2866988823664
2654.422221154942,-39.407897944452344
2811.706625951745,-39.5215649506983
2978.3107176450544,-39.629220995261115
3154.7867224009647,-39.732238114271844
3341.719587843074,-39.831870282774425
3539.72892192069,-39.92927982427955
3749.4710466622787,-40.02556039548489
3971.6411736214104,-40.12175745942163
4206.975708225973,-40.21888698382636
4456.2546906687285,-40.31795297760749
4720.304381429617,-40.4199643929191
4999.999999999999,-40.52595186352566
5296.268625886442,-40.636984713874824
5610.0922715098195,-40.754188649735816
5942.5111371850935,-40.87876451985606
6294.6270589708365,-41.01200850021275
6667.607160816619,-41.15533395962879
7062.687723113769,-41.31029503124276
7481.178280472171,-41.47861133114168
7924.4659623055695,-41.66219180109114
8394.020090612803,-41.86315181989401
8891.397050194613,-42.083806881692595
9418.245447448999,-42.326591345380216
9976.311574844403,-42.59371441861841
10567.445199183237,-42.88559276586901
11193.605692841687,-43.179162887841656
11856.868528308274,-43.46447882823742
12559.43215754791,-44.32392138012881
13303.625298994068,-44.653219435141494
14091.914656322273,-45.17909320636026
14926.913094589783,-45.80191104216632
15811.388300841894,-46.52537675617857
16748.271957891393,-47.36470958430114
17740.6694616788,-48.35779335897143
18791.870214422215,-49.47209612803186
19905.358527674845,-51.151537143983475
21084.82517142911,-52.595242825307565
22334.179607548172,-54.45401363608424
23657.56294807406,-56.372191698865215
25059.36168136362,-57.64827602326719
26544.222211549393,-57.28433935255842
28117.06625951745,-56.12403408140612
29783.107176450543,-54.119352660855206
31547.86722400971,-52.51818283008986
33417.19587843074,-51.365549616426726
35397.28921920686,-50.56782995688516
37494.71046662279,-50.0434361108481
39716.411736214104,-49.29893696181129
42069.75708225982,-50.575740745312565
44562.54690668729,-50.96391715683376
47203.04381429612,-54.91274922398987
49999.99999999999,-58.617711810051546
52962.68625886448,-74.35783641062167
56100.922715098255,-62.66609715583691
59425.11137185094,-56.349957384787515
62946.2705897083,-54.05098601223257
66676.0716081662,-53.90056846909089
70626.87723113777,-55.788107999722016
74811.78280472178,-60.7278601719916
79244.65962305569,-63.56643548386742
83940.20090612794,-58.756966870838994
88913.97050194613,-56.313873341417036
