% Model,TS_air_sphere_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 3 2026, 14:49"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-48.213134771632795
56.10092271509817,-46.03908332330279
62.94627058970836,-43.812207035303175
70.6268772311377,-41.514014032619485
79.24465962305565,-39.11778873693147
88.91397050194612,-36.58350638567104
99.76311574844398,-33.84819736607924
111.93605692841699,-30.805855033150557
125.59432157547896,-27.259797325743264
140.91914656322274,-22.788008165672178
158.11388300841895,-16.285621538232498
177.40669461678763,-8.629918251751722
199.05358527674863,-15.42578704755567
223.34179607548148,-19.82460332073054
250.5936168136362,-22.40426120209577
281.1706625951745,-24.13813238870774
315.47867224009644,-25.407197070130767
353.97289219206897,-26.39288084252323
397.16411736214064,-27.19396523363028
445.6254690668729,-27.86896125920192
499.99999999999994,-28.45431687015556
561.0092271509814,-28.97330215544891
629.4627058970837,-29.440809079672526
706.2687723113777,-29.866187467045968
792.4465962305569,-30.25507330793428
889.1397050194613,-30.610676432705063
997.6311574844393,-30.934767815851224
1119.36056928417,-31.228490307666036
1255.943215754791,-31.49304976414069
1409.1914656322274,-31.730301528719256
1581.1388300841895,-31.943220924196893
1774.0669461678763,-32.13623370013319
1990.5358527674864,-32.31538281668131
2233.417960754817,-32.48831892951119
2505.936168136362,-32.6641159989867
2811.706625951745,-32.852915787662205
3154.7867224009647,-33.06536325850835
3539.72892192069,-33.311578742997035
3971.6411736214104,-33.59780885427671
4456.2546906687285,-33.843719358971775
4999.999999999999,-34.39806575940279
5610.0922715098195,-34.83932738883532
6294.6270589708365,-35.3243339209089
7062.687723113769,-35.809260225257106
7924.4659623055695,-36.22371007141008
8891.397050194613,-36.52721699219386
9976.311574844403,-36.61153635010235
11193.605692841687,-36.69448343127619
12559.43215754791,-36.71095758412974
14091.914656322273,-36.78953593520452
15811.388300841894,-36.91283055279332
17740.6694616788,-37.21891572027802
19905.358527674845,-37.378581729617
22334.179607548172,-37.374764471007474
25059.36168136362,-37.43684265425301
28117.06625951745,-37.55480376538445
31547.86722400971,-37.61739967607494
35397.28921920686,-37.65865757190763
39716.411736214104,-37.708085204974736
