% Model,Rockfish_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 10:18"
% Table,Table 10 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
0,10000,-99.83248228493187
0,30000,-91.19170229411102
0,50000,-86.6097536452606
0,70000,-68.07403488211142
1,10000,-99.81754219011505
1,30000,-91.13286916558943
1,50000,-88.00061280340867
1,70000,-68.28866737387386
2,10000,-99.8030135398257
2,30000,-91.20054596717593
2,50000,-90.54806849623651
2,70000,-70.3603800339572
3.0000000000000004,10000,-99.78898059661708
3.0000000000000004,30000,-91.3976202618778
3.0000000000000004,50000,-93.28554599614698
3.0000000000000004,70000,-75.10095841840571
4,10000,-99.77552283882656
4,30000,-91.71253755544718
4,50000,-93.3519694883075
4,70000,-87.30784775866209
5,10000,-99.76271466357804
5,30000,-92.12371977315811
5,50000,-91.79736612565904
5,70000,-79.49522889909875
6.000000000000001,10000,-99.75062511446231
6.000000000000001,30000,-92.6048487166053
6.000000000000001,50000,-91.11705640621928
6.000000000000001,70000,-72.54349363936477
7,10000,-99.73931762888498
7,30000,-93.12931840248532
7,50000,-92.03135294418644
7,70000,-69.33941899222121
8,10000,-99.72884980250141
8,30000,-93.6714000789643
8,50000,-95.15699808082275
8,70000,-68.08859160048283
9,10000,-99.71927317057194
9,30000,-94.2028866096603
9,50000,-100.22790720152706
9,70000,-68.13374282513512
10,10000,-99.71063300808994
10,30000,-94.68814305797684
10,50000,-96.85387890744309
10,70000,-68.90315382409601
11,10000,-99.70296815290253
11,30000,-95.0851795624495
11,50000,-92.2670574896386
11,70000,-69.58241366586063
12.000000000000002,10000,-99.69631085691113
12.000000000000002,30000,-95.35948941193698
12.000000000000002,50000,-89.54177139169785
12.000000000000002,70000,-69.6981032819648
13,10000,-99.69068667200524
13,30000,-95.50571022687215
13,50000,-87.67356098320559
13,70000,-70.36761912349772
14,10000,-99.68611437684073
14,30000,-95.5584809994778
14,50000,-86.35771179981774
14,70000,-73.16568194353584
14.999999999999998,10000,-99.68260595072329
14.999999999999998,30000,-95.58001028575211
14.999999999999998,50000,-85.73051449690881
14.999999999999998,70000,-77.69570876914558
16,10000,-99.68016659944846
16,30000,-95.63474397871276
16,50000,-85.95700539752677
16,70000,-74.14605592095526
17,10000,-99.67879483636185
17,30000,-95.77010482450575
17,50000,-87.05064384195596
17,70000,-70.49797954160427
18,10000,-99.6784826199183
18,30000,-96.01123358535361
18,50000,-88.74568976634073
18,70000,-69.65567743507319
19,10000,-99.67921554650349
19,30000,-96.36735613962625
19,50000,-90.1575417116395
19,70000,-71.06024865761631
